  45.06
 318.00
 771486538
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 02 02 12	34557.64	0.00	230.41	0.00	-15.85	-15.85	116.45
1980 02 03 12	34560.00	0.09	222.96	0.00	-14.73	-14.73	134.06
1980 02 04 12	34830.02	0.00	164.75	0.00	-12.27	-12.27	162.15
1980 02 05 12	34905.60	0.00	111.64	0.00	-11.23	-11.23	184.19
1980 02 06 12	35055.53	0.00	248.79	0.00	-7.60	-7.60	252.86
1980 02 07 12	35251.20	0.00	297.99	0.00	-6.50	-6.50	237.69
1980 02 08 12	35329.27	0.00	313.26	0.00	-6.93	-6.93	255.09
1980 02 09 12	35596.80	0.00	342.43	0.00	-8.55	-8.55	231.54
1980 02 10 12	35601.22	0.00	323.43	0.00	-9.42	-9.42	194.04
1980 02 11 12	35942.40	0.04	288.35	0.00	-8.40	-8.40	197.35
1980 02 12 12	35942.40	0.03	237.43	0.00	-6.12	-6.12	232.38
1980 02 13 12	36288.00	0.00	251.80	0.00	-6.51	-6.51	213.46
1980 02 14 12	36288.00	0.00	139.60	0.00	-6.12	-6.12	255.56
1980 02 15 12	36633.60	0.01	307.95	0.00	-7.45	-7.45	216.29
1980 02 16 12	36633.60	10.49	256.94	0.00	-8.75	-8.75	252.22
1980 02 17 12	36979.20	4.59	240.39	0.00	-10.35	-10.35	236.35
1980 02 18 12	36983.62	0.00	291.54	0.00	-10.99	-10.99	169.62
1980 02 19 12	37324.80	0.00	303.95	0.00	-6.90	-6.90	242.08
1980 02 20 12	37402.88	0.00	342.55	0.00	-1.73	-1.73	369.61
1980 02 21 12	37670.40	0.15	213.91	0.00	-1.34	-1.34	437.81
1980 02 22 12	37820.33	0.48	367.25	0.00	-10.50	-10.50	152.92
1980 02 23 12	38016.00	7.73	196.93	0.00	-5.60	-5.60	359.89
1980 02 24 12	38325.66	0.04	122.06	0.00	-4.75	-4.75	354.18
1980 02 25 12	38361.60	0.39	202.28	0.00	-2.75	-2.75	390.66
1980 02 26 12	38707.20	0.01	334.27	0.00	-8.42	-8.42	191.38
1980 02 27 12	38707.20	0.00	303.74	0.00	-15.40	-15.40	108.55
1980 02 28 12	39052.80	0.90	120.95	0.00	-10.03	-10.03	229.09
1980 02 29 12	39052.80	0.45	286.39	0.00	-13.61	-13.61	161.22
1980 03 01 12	39398.40	0.00	447.86	0.00	-17.19	-17.19	93.32
1980 03 02 12	39398.40	0.00	464.40	0.00	-16.35	-16.35	104.66
1980 03 03 12	39744.00	0.00	457.16	0.00	-12.26	-12.26	129.88
1980 03 04 12	39748.42	0.00	436.05	0.00	-7.50	-7.50	225.98
1980 03 05 12	40089.60	1.75	195.54	0.00	-3.92	-3.92	369.40
1980 03 06 12	40435.20	3.16	336.56	0.00	-1.80	-1.80	450.03
1980 03 07 12	40435.20	1.12	213.65	0.00	-4.28	-4.28	335.60
1980 03 08 12	40780.80	7.00	151.00	0.00	-1.96	-1.96	459.45
1980 03 09 12	40780.80	4.15	254.21	0.00	-1.52	-1.52	495.14
1980 03 10 12	41126.40	0.00	361.70	0.00	-1.83	-1.83	378.18
1980 03 11 12	41126.40	14.57	206.02	0.00	-0.56	-0.56	522.54
1980 03 12 12	41472.00	0.64	273.09	0.00	-12.83	-12.83	145.61
1980 03 13 12	41550.07	0.00	493.55	0.00	-12.13	-12.13	147.20
1980 03 14 12	41817.60	14.40	149.69	0.00	-4.87	-4.87	377.83
1980 03 15 12	42163.20	1.08	171.18	0.00	-5.77	-5.77	331.04
1980 03 16 12	42163.20	0.00	477.47	0.00	-12.63	-12.63	152.93
1980 03 17 12	42508.80	1.47	204.34	0.00	-6.53	-6.53	291.51
1980 03 18 12	42508.80	34.15	159.37	0.00	1.24	1.24	618.34
1980 03 19 12	42854.40	0.00	421.14	0.00	-5.26	-5.26	243.05
1980 03 20 12	42854.40	0.00	287.14	0.00	-3.21	-3.21	318.67
1980 03 21 12	43200.00	0.00	473.23	0.00	0.43	0.43	462.30
1980 03 22 12	43545.60	0.03	480.44	0.00	0.87	0.87	487.49
1980 03 23 12	43545.60	0.00	356.34	0.00	1.91	1.91	551.47
1980 03 24 12	43891.20	0.00	467.17	0.00	1.67	1.67	513.12
1980 03 25 12	43891.20	0.30	277.61	0.00	2.30	2.30	532.73
1980 03 26 12	44236.80	1.23	239.44	0.00	1.86	1.86	539.87
1980 03 27 12	44236.80	0.05	297.91	0.00	1.85	1.85	523.12
1980 03 28 12	44582.40	0.00	283.54	0.00	3.02	3.02	523.04
1980 03 29 12	44849.93	0.14	206.30	0.00	4.96	4.96	601.01
1980 03 30 12	44928.00	2.27	168.52	0.00	4.31	4.31	682.36
1980 03 31 12	45273.60	0.00	496.08	0.00	2.37	2.37	416.76
1980 04 01 12	45273.60	0.00	523.66	0.00	3.10	3.10	382.39
1980 04 02 12	45619.20	0.00	472.04	0.00	5.22	5.22	405.50
1980 04 03 12	45619.20	0.00	493.51	0.00	5.30	5.30	474.40
1980 04 04 12	45964.80	9.99	270.52	0.00	4.60	4.60	583.86
1980 04 05 12	45964.80	2.85	273.31	0.00	3.88	3.88	678.56
1980 04 06 12	46310.40	0.00	525.29	0.00	1.40	1.40	409.45
1980 04 07 12	46577.93	0.00	519.49	0.00	1.32	1.32	337.65
1980 04 08 12	46656.00	0.00	468.28	0.00	3.18	3.18	608.43
1980 04 09 12	47001.60	0.83	319.17	0.00	6.32	6.32	812.47
1980 04 10 12	47001.60	23.47	154.98	0.00	4.58	4.58	783.30
1980 04 11 12	47347.20	4.00	363.15	0.00	7.84	7.84	890.31
1980 04 12 12	47347.20	4.12	355.67	0.00	7.39	7.39	757.68
1980 04 13 12	47692.80	10.61	406.98	0.00	8.45	8.45	843.36
1980 04 14 12	47692.80	0.03	456.76	0.00	6.26	6.26	655.73
1980 04 15 12	48038.40	15.03	220.19	0.00	7.73	7.73	984.96
1980 04 16 12	48074.34	0.90	214.31	0.00	6.34	6.34	740.40
1980 04 17 12	48384.00	0.06	560.54	0.00	0.07	0.07	326.07
1980 04 18 12	48579.67	0.00	220.12	0.00	2.07	2.07	390.81
1980 04 19 12	48729.60	0.00	562.67	0.00	4.41	4.41	501.69
1980 04 20 12	48997.12	1.75	454.15	0.00	8.01	8.01	631.87
1980 04 21 12	49075.20	4.67	348.54	0.00	7.63	7.63	770.61
1980 04 22 12	49416.38	1.03	163.48	0.00	0.81	0.81	458.30
1980 04 23 12	49420.80	10.76	183.00	0.00	4.53	4.53	775.79
1980 04 24 12	49766.40	3.79	517.56	0.00	8.16	8.16	865.45
1980 04 25 12	49766.40	0.00	398.38	0.00	11.79	11.79	1037.21
1980 04 26 12	50112.00	6.18	115.03	0.00	9.23	9.23	1043.79
1980 04 27 12	50112.00	3.54	158.18	0.00	9.31	9.31	1060.44
1980 04 28 12	50457.60	0.23	516.91	0.00	7.15	7.15	775.12
1980 04 29 12	50457.60	10.07	166.73	0.00	4.57	4.57	733.61
1980 04 30 12	50798.78	20.41	412.26	0.00	8.89	8.89	1018.27
1980 05 01 12	50803.20	0.00	363.46	0.00	11.47	11.47	1043.42
1980 05 02 12	51070.73	0.09	483.46	0.00	10.09	10.09	823.56
1980 05 03 12	51148.80	0.00	504.98	0.00	10.76	10.76	793.86
1980 05 04 12	51344.47	0.00	414.90	0.00	7.95	7.95	647.18
1980 05 05 12	51494.40	0.00	355.46	0.00	5.57	5.57	594.15
1980 05 06 12	51569.98	0.61	424.54	0.00	9.11	9.11	748.74
1980 05 07 12	51840.00	6.08	284.95	0.00	7.42	7.42	878.96
1980 05 08 12	51842.36	10.62	156.93	0.00	7.11	7.11	943.34
1980 05 09 12	52185.60	3.02	253.52	0.00	7.76	7.76	886.01
1980 05 10 12	52185.60	0.53	242.83	0.00	7.35	7.35	738.57
1980 05 11 12	52526.78	0.05	430.55	0.00	10.06	10.06	862.58
1980 05 12 12	52531.20	0.20	489.01	0.00	13.88	13.88	1152.40
1980 05 13 12	52654.67	0.04	326.33	0.00	13.43	13.43	984.89
1980 05 14 12	52876.80	0.64	266.90	0.00	11.11	11.11	1037.63
1980 05 15 12	52876.80	0.45	299.67	0.00	8.86	8.86	789.09
1980 05 16 12	53217.98	0.03	380.72	0.00	11.04	11.04	835.92
1980 05 17 12	53222.40	0.00	521.43	0.00	10.58	10.58	737.69
1980 05 18 12	53297.98	2.27	253.06	0.00	9.11	9.11	862.46
1980 05 19 12	53568.00	3.58	310.26	0.00	12.30	12.30	1211.25
1980 05 20 12	53568.00	0.00	498.30	0.00	14.10	14.10	997.96
1980 05 21 12	53691.47	0.00	517.42	0.00	13.75	13.75	1103.15
1980 05 22 12	53913.60	0.00	515.02	0.00	15.34	15.34	1197.57
1980 05 23 12	53913.60	0.00	509.06	0.00	13.34	13.34	950.09
1980 05 24 12	54037.07	0.00	501.61	0.00	13.99	13.99	950.42
1980 05 25 12	54259.20	0.00	444.73	0.00	12.25	12.25	864.45
1980 05 26 12	54259.20	0.05	201.63	0.00	6.85	6.85	704.67
1980 05 27 12	54334.78	0.29	177.44	0.00	7.11	7.11	762.65
1980 05 28 12	54600.38	0.00	295.86	0.00	7.86	7.86	782.54
1980 05 29 12	54604.80	0.00	338.97	0.00	10.49	10.49	889.17
1980 05 30 12	54604.80	0.00	519.69	0.00	14.25	14.25	979.20
1980 05 31 12	54728.27	0.15	198.60	0.00	13.87	13.87	1262.53
1980 06 01 12	54945.98	0.82	379.95	0.00	16.77	16.77	1584.96
1980 06 02 12	54950.40	1.61	161.02	0.00	14.36	14.36	1416.31
1980 06 03 12	54950.40	4.31	245.85	0.00	13.06	13.06	1425.11
1980 06 04 12	54986.34	2.94	235.11	0.00	12.87	12.87	1309.51
1980 06 05 12	55146.07	0.96	362.15	0.00	12.59	12.59	1073.90
1980 06 06 12	55296.00	0.00	524.82	0.00	14.65	14.65	1055.09
1980 06 07 12	55296.00	2.03	337.56	0.00	14.05	14.05	1249.76
1980 06 08 12	55296.00	2.45	303.56	0.00	14.37	14.37	1485.64
1980 06 09 12	55298.36	0.28	368.94	0.00	6.06	6.06	727.17
1980 06 10 12	55331.94	0.48	376.19	0.00	8.21	8.21	796.86
1980 06 11 12	55419.47	0.00	211.42	0.00	7.80	7.80	795.79
1980 06 12 12	55563.53	0.00	328.75	0.00	9.36	9.36	910.28
1980 06 13 12	55637.18	0.00	517.95	0.00	14.07	14.07	1145.90
1980 06 14 12	55641.60	0.01	515.69	0.00	15.84	15.84	1439.05
1980 06 15 12	55641.60	1.00	437.88	0.00	17.18	17.18	1509.98
1980 06 16 12	55641.60	8.17	422.90	0.00	14.05	14.05	1253.90
1980 06 17 12	55641.60	0.00	317.50	0.00	13.25	13.25	1100.59
1980 06 18 12	55641.60	0.00	406.73	0.00	13.91	13.91	1260.20
1980 06 19 12	55641.60	2.74	367.37	0.00	14.88	14.88	1409.35
1980 06 20 12	55641.60	1.71	423.94	0.00	12.81	12.81	1155.00
1980 06 21 12	55641.60	31.07	207.88	0.00	11.47	11.47	1258.34
1980 06 22 12	55641.60	0.28	491.88	0.00	14.70	14.70	1301.18
1980 06 23 12	55641.60	0.07	494.75	0.00	19.50	19.50	1539.20
1980 06 24 12	55641.60	2.33	337.21	0.00	20.34	20.34	1760.42
1980 06 25 12	55641.60	0.00	480.11	0.00	23.43	23.43	2110.15
1980 06 26 12	55641.60	3.63	420.17	0.00	23.27	23.27	2165.79
1980 06 27 12	55637.18	3.43	318.23	0.00	21.08	21.08	1990.79
1980 06 28 12	55563.53	0.00	530.59	0.00	11.93	11.93	962.95
1980 06 29 12	55491.67	0.21	374.34	0.00	13.89	13.89	1093.74
1980 06 30 12	55371.58	3.12	185.15	0.00	13.90	13.90	1474.29
1980 07 01 12	55331.94	1.10	433.61	0.00	15.62	15.62	1505.12
1980 07 02 12	55296.00	3.92	288.19	0.00	16.74	16.74	1677.52
1980 07 03 12	55296.00	0.56	475.22	0.00	18.27	18.27	1624.27
1980 07 04 12	55296.00	0.89	368.54	0.00	17.74	17.74	1543.02
1980 07 05 12	55217.93	0.84	407.83	0.00	17.05	17.05	1539.13
1980 07 06 12	55073.87	8.44	377.97	0.00	15.93	15.93	1468.43
1980 07 07 12	54952.76	1.20	403.92	0.00	12.35	12.35	1061.35
1980 07 08 12	54950.40	2.71	197.81	0.00	15.33	15.33	1424.52
1980 07 09 12	54950.40	1.80	420.22	0.00	16.27	16.27	1469.84
1980 07 10 12	54872.32	0.00	476.59	0.00	14.97	14.97	1327.97
1980 07 11 12	54640.74	14.24	449.44	0.00	17.62	17.62	1682.59
1980 07 12 12	54604.80	4.28	357.75	0.00	15.81	15.81	1441.88
1980 07 13 12	54604.80	5.85	215.02	0.00	11.96	11.96	1232.19
1980 07 14 12	54454.87	1.26	379.93	0.00	17.48	17.48	1622.79
1980 07 15 12	54261.56	0.30	192.21	0.00	20.19	20.19	2020.58
1980 07 16 12	54259.20	4.10	275.20	0.00	22.54	22.54	2299.95
1980 07 17 12	54181.12	7.86	295.21	0.00	21.65	21.65	2170.13
1980 07 18 12	53949.54	0.87	443.78	0.00	20.79	20.79	1837.49
1980 07 19 12	53913.60	0.00	350.85	0.00	20.52	20.52	1744.08
1980 07 20 12	53909.18	3.70	319.77	0.00	22.19	22.19	2127.38
1980 07 21 12	53570.36	5.24	191.06	0.00	21.12	21.12	2074.54
1980 07 22 12	53568.00	13.61	201.41	0.00	20.15	20.15	2098.54
1980 07 23 12	53489.93	21.27	276.31	0.00	19.36	19.36	1939.13
1980 07 24 12	53222.40	2.81	289.60	0.00	18.82	18.82	1728.23
1980 07 25 12	53222.40	0.10	457.51	0.00	19.90	19.90	1675.20
1980 07 26 12	53000.27	0.06	312.57	0.00	21.14	21.14	1945.25
1980 07 27 12	52876.80	8.83	246.37	0.00	20.84	20.84	2027.60
1980 07 28 12	52872.38	5.69	445.20	0.00	20.26	20.26	2012.39
1980 07 29 12	52531.20	4.87	188.82	0.00	17.72	17.72	1878.92
1980 07 30 12	52531.20	14.58	302.85	0.00	20.05	20.05	2101.43
1980 07 31 12	52261.18	6.02	367.53	0.00	20.40	20.40	1859.39
1980 08 01 12	52185.60	0.07	487.80	0.00	20.59	20.59	1892.79
1980 08 02 12	52035.67	3.62	409.63	0.00	21.60	21.60	2121.16
1980 08 03 12	51840.00	3.21	272.08	0.00	21.73	21.73	2205.69
1980 08 04 12	51840.00	0.29	240.57	0.00	20.97	20.97	2070.50
1980 08 05 12	51494.40	0.09	479.11	0.00	21.59	21.59	1943.52
1980 08 06 12	51494.40	10.46	316.52	0.00	21.01	21.01	2128.78
1980 08 07 12	51148.80	0.18	406.28	0.00	23.20	23.20	2248.35
1980 08 08 12	51148.80	3.31	421.57	0.00	22.00	22.00	1976.51
1980 08 09 12	50805.56	18.25	319.59	0.00	21.96	21.96	2099.38
1980 08 10 12	50803.20	0.00	420.39	0.00	15.14	15.14	1263.25
1980 08 11 12	50493.54	3.00	237.07	0.00	13.65	13.65	1371.78
1980 08 12 12	50457.60	12.01	175.44	0.00	14.42	14.42	1567.97
1980 08 13 12	50147.94	3.84	364.33	0.00	16.76	16.76	1609.65
1980 08 14 12	50112.00	0.00	249.87	0.00	15.55	15.55	1454.46
1980 08 15 12	49802.34	0.81	366.45	0.00	17.69	17.69	1697.37
1980 08 16 12	49766.40	0.81	296.96	0.00	14.75	14.75	1303.31
1980 08 17 12	49423.16	0.00	489.23	0.00	14.72	14.72	1193.82
1980 08 18 12	49420.80	0.00	461.82	0.00	16.59	16.59	1360.25
1980 08 19 12	49075.20	3.04	116.66	0.00	15.27	15.27	1499.43
1980 08 20 12	49075.20	1.02	158.57	0.00	15.00	15.00	1565.57
1980 08 21 12	48729.60	0.00	479.11	0.00	15.43	15.43	1392.02
1980 08 22 12	48729.60	0.00	467.83	0.00	16.46	16.46	1412.62
1980 08 23 12	48384.00	0.00	478.06	0.00	18.69	18.69	1463.54
1980 08 24 12	48384.00	0.00	461.69	0.00	20.21	20.21	1740.73
1980 08 25 12	48038.40	0.03	283.18	0.00	19.79	19.79	1730.63
1980 08 26 12	48038.40	0.89	326.65	0.00	20.53	20.53	1880.90
1980 08 27 12	47692.80	0.35	301.81	0.00	21.07	21.07	2015.90
1980 08 28 12	47688.38	5.34	414.36	0.00	16.73	16.73	1464.23
1980 08 29 12	47347.20	0.00	353.87	0.00	15.13	15.13	1194.64
1980 08 30 12	47077.18	0.00	384.26	0.00	18.02	18.02	1476.08
1980 08 31 12	47001.60	7.27	353.17	0.00	20.42	20.42	2005.61
1980 09 01 12	46656.00	8.90	227.94	0.00	19.74	19.74	1977.99
1980 09 02 12	46656.00	5.71	316.29	0.00	22.31	22.31	2219.27
1980 09 03 12	46310.40	6.91	393.90	0.00	20.18	20.18	1769.53
1980 09 04 12	46310.40	0.00	429.35	0.00	13.99	13.99	1140.03
1980 09 05 12	45964.80	0.04	352.58	0.00	16.97	16.97	1558.33
1980 09 06 12	45964.80	0.09	356.06	0.00	18.22	18.22	1583.20
1980 09 07 12	45619.20	0.00	370.63	0.00	14.29	14.29	1093.46
1980 09 08 12	45349.18	0.01	316.95	0.00	11.44	11.44	942.77
1980 09 09 12	45273.60	0.01	393.80	0.00	10.96	10.96	974.32
1980 09 10 12	44928.00	3.47	329.35	0.00	11.62	11.62	1077.06
1980 09 11 12	44928.00	2.69	248.43	0.00	11.20	11.20	1019.34
1980 09 12 12	44582.40	0.95	301.87	0.00	9.89	9.89	873.72
1980 09 13 12	44582.40	0.00	400.04	0.00	8.57	8.57	846.44
1980 09 14 12	44236.80	39.36	174.31	0.00	12.21	12.21	1322.60
1980 09 15 12	44236.80	4.84	258.94	0.00	11.81	11.81	1193.20
1980 09 16 12	43891.20	0.66	368.84	0.00	11.53	11.53	1032.68
1980 09 17 12	43545.60	0.23	280.19	0.00	10.78	10.78	1174.38
1980 09 18 12	43545.60	5.57	263.01	0.00	15.75	15.75	1556.69
1980 09 19 12	43200.00	0.00	298.77	0.00	9.65	9.65	854.23
1980 09 20 12	43200.00	0.29	343.95	0.00	11.16	11.16	985.55
1980 09 21 12	42854.40	0.85	398.73	0.00	14.77	14.77	1319.93
1980 09 22 12	42854.40	7.12	343.43	0.00	15.00	15.00	1458.17
1980 09 23 12	42508.80	7.55	233.69	0.00	15.82	15.82	1544.50
1980 09 24 12	42163.20	0.00	425.63	0.00	6.42	6.42	658.87
1980 09 25 12	42163.20	0.00	368.85	0.00	6.86	6.86	683.58
1980 09 26 12	41817.60	19.72	139.06	0.00	9.63	9.63	1079.83
1980 09 27 12	41817.60	1.73	327.82	0.00	6.43	6.43	720.66
1980 09 28 12	41472.00	0.06	260.98	0.00	5.63	5.63	650.74
1980 09 29 12	41472.00	0.01	408.83	0.00	2.58	2.58	454.16
1980 09 30 12	41126.40	0.59	169.60	0.00	6.70	6.70	888.26
1980 10 01 12	41050.82	1.77	269.77	0.00	12.60	12.60	1255.40
1980 10 02 12	40780.80	1.14	323.16	0.00	12.70	12.70	1305.48
1980 10 03 12	40435.20	6.60	176.70	0.00	11.31	11.31	1200.50
1980 10 04 12	40435.20	25.44	193.33	0.00	11.79	11.79	1265.86
1980 10 05 12	40089.60	0.00	272.08	0.00	11.22	11.22	1013.30
1980 10 06 12	40089.60	0.07	326.25	0.00	10.95	10.95	978.61
1980 10 07 12	39744.00	0.00	167.08	0.00	9.72	9.72	924.88
1980 10 08 12	39744.00	0.02	191.69	0.00	9.07	9.07	907.25
1980 10 09 12	39398.40	0.44	262.56	0.00	7.02	7.02	772.40
1980 10 10 12	39322.82	0.00	336.98	0.00	3.19	3.19	513.71
1980 10 11 12	39052.80	8.45	91.99	0.00	3.53	3.53	678.10
1980 10 12 12	38711.62	8.02	229.01	0.00	9.61	9.61	1005.86
1980 10 13 12	38707.20	0.01	139.27	0.00	4.89	4.89	662.91
1980 10 14 12	38361.60	0.00	202.92	0.00	1.72	1.72	508.84
1980 10 15 12	38361.60	0.00	329.68	0.00	1.71	1.71	472.13
1980 10 16 12	38016.00	0.00	321.12	0.00	4.10	4.10	583.34
1980 10 17 12	38016.00	0.00	289.64	0.00	7.12	7.12	777.92
1980 10 18 12	37670.40	5.43	173.51	0.00	11.33	11.33	1239.07
1980 10 19 12	37670.40	0.17	220.20	0.00	11.21	11.21	999.73
1980 10 20 12	37324.80	0.22	205.16	0.00	5.24	5.24	617.10
1980 10 21 12	37324.80	0.51	143.97	0.00	3.25	3.25	519.22
1980 10 22 12	36979.20	0.00	186.90	0.00	4.08	4.08	582.25
1980 10 23 12	36976.84	0.24	214.54	0.00	1.05	1.05	428.88
1980 10 24 12	36633.60	4.26	231.45	0.00	1.63	1.63	505.38
1980 10 25 12	36597.66	4.95	253.80	0.00	2.56	2.56	602.40
1980 10 26 12	36288.00	28.18	138.27	0.00	7.37	7.37	923.43
1980 10 27 12	36252.06	0.20	220.38	0.00	1.32	1.32	439.94
1980 10 28 12	35942.40	0.48	154.78	0.00	2.26	2.26	511.21
1980 10 29 12	35940.04	0.00	129.51	0.00	0.62	0.62	452.44
1980 10 30 12	35596.80	0.00	185.30	0.00	1.18	1.18	500.27
1980 10 31 12	35594.44	0.36	204.71	0.00	2.79	2.79	559.94
1980 11 01 12	35251.20	0.18	158.58	0.00	2.44	2.44	501.62
1980 11 02 12	35251.20	0.00	155.11	0.00	-0.30	-0.30	386.64
1980 11 03 12	34905.60	0.12	303.51	0.00	-1.65	-1.65	289.04
1980 11 04 12	34905.60	0.42	211.82	0.00	3.28	3.28	659.33
1980 11 05 12	34560.00	0.98	191.22	0.00	7.30	7.30	858.07
1980 11 06 12	34560.00	0.00	271.88	0.00	-0.88	-0.88	294.73
1980 11 07 12	34364.33	2.53	141.21	0.00	2.16	2.16	565.50
1980 11 08 12	34214.40	13.33	147.90	0.00	4.37	4.37	756.84
1980 11 09 12	34138.82	1.04	217.96	0.00	-1.54	-1.54	329.35
1980 11 10 12	33868.80	1.37	134.71	0.00	1.87	1.87	619.82
1980 11 11 12	33868.80	0.81	177.95	0.00	-0.81	-0.81	456.13
1980 11 12 12	33527.62	0.02	184.38	0.00	-0.12	-0.12	495.11
1980 11 13 12	33523.20	0.02	261.96	0.00	-0.44	-0.44	452.30
1980 11 14 12	33399.73	1.47	138.12	0.00	0.15	0.15	472.04
1980 11 15 12	33177.60	0.07	229.52	0.00	-1.14	-1.14	358.77
1980 11 16 12	33177.60	0.03	193.34	0.00	-3.27	-3.27	267.93
1980 11 17 12	32910.07	0.00	294.70	0.00	-2.91	-2.91	325.96
1980 11 18 12	32832.00	15.49	109.49	0.00	-2.02	-2.02	466.27
1980 11 19 12	32829.64	0.71	208.74	0.00	-2.88	-2.88	387.49
1980 11 20 12	32490.82	0.00	220.09	0.00	-4.35	-4.35	353.12
1980 11 21 12	32486.40	0.08	194.07	0.00	-2.86	-2.86	432.32
1980 11 22 12	32450.46	0.08	276.46	0.00	-0.30	-0.30	531.20
1980 11 23 12	32218.88	2.81	273.65	0.00	-1.61	-1.61	434.15
1980 11 24 12	32140.80	2.81	132.19	0.00	0.75	0.75	505.44
1980 11 25 12	32138.44	26.61	78.40	0.00	2.04	2.04	677.96
1980 11 26 12	31945.13	3.48	243.10	0.00	-1.53	-1.53	459.22
1980 11 27 12	31795.20	0.00	277.00	0.00	-4.73	-4.73	258.75
1980 11 28 12	31795.20	11.46	106.50	0.00	-3.36	-3.36	386.37
1980 11 29 12	31759.26	22.49	218.47	0.00	0.63	0.63	605.05
1980 11 30 12	31527.68	0.00	87.79	0.00	-0.86	-0.86	440.61
1980 12 01 12	31449.60	0.00	115.23	0.00	-0.17	-0.17	478.17
1980 12 02 12	31449.60	0.59	171.35	0.00	0.07	0.07	540.54
1980 12 03 12	31447.24	17.35	115.66	0.00	1.87	1.87	655.68
1980 12 04 12	31326.13	0.97	111.68	0.00	-9.58	-9.58	226.79
1980 12 05 12	31182.08	0.49	217.82	0.00	-10.76	-10.76	199.61
1980 12 06 12	31104.00	0.00	154.91	0.00	-6.81	-6.81	299.00
1980 12 07 12	31104.00	0.00	227.55	0.00	-3.98	-3.98	363.29
1980 12 08 12	31104.00	1.48	124.10	0.00	-1.75	-1.75	465.85
1980 12 09 12	31068.06	2.01	192.63	0.00	-1.25	-1.25	451.02
1980 12 10 12	31028.42	1.38	200.93	0.00	-5.51	-5.51	311.69
1980 12 11 12	30908.33	0.19	218.87	0.00	-10.14	-10.14	230.42
1980 12 12 12	30836.48	0.60	177.72	0.00	-14.77	-14.77	145.94
1980 12 13 12	30762.82	3.40	119.60	0.00	-6.96	-6.96	325.50
1980 12 14 12	30758.40	0.12	162.95	0.00	-9.76	-9.76	214.76
1980 12 15 12	30758.40	0.00	175.18	0.00	-18.86	-18.86	85.13
1980 12 16 12	30758.40	9.73	143.36	0.00	-13.18	-13.18	202.31
1980 12 17 12	30758.40	1.01	186.19	0.00	-11.54	-11.54	215.06
1980 12 18 12	30758.40	0.00	76.40	0.00	-14.35	-14.35	183.32
1980 12 19 12	30758.40	0.89	120.32	0.00	-9.14	-9.14	255.43
