  44.98
 613.00
 913874993
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 08 28 12	47397.66	3.61	402.76	0.00	16.63	16.63	1431.04
1980 08 29 12	47347.20	0.00	341.55	0.00	15.80	15.80	1228.31
1980 08 30 12	47001.60	0.07	403.56	0.00	17.78	17.78	1468.74
1980 08 31 12	47001.60	5.21	355.27	0.00	20.72	20.72	1966.49
1980 09 01 12	46656.00	9.62	238.08	0.00	19.87	19.87	1913.80
1980 09 02 12	46656.00	5.95	332.24	0.00	22.69	22.69	2147.47
1980 09 03 12	46310.40	7.86	380.40	0.00	19.73	19.73	1682.67
1980 09 04 12	46310.40	0.00	429.78	0.00	14.23	14.23	1135.98
1980 09 05 12	45964.80	0.00	352.17	0.00	17.44	17.44	1557.35
1980 09 06 12	45931.69	0.00	371.69	0.00	18.33	18.33	1528.74
1980 09 07 12	45619.20	0.00	363.42	0.00	14.22	14.22	1044.26
1980 09 08 12	45273.60	0.01	295.45	0.00	10.98	10.98	891.05
1980 09 09 12	45273.60	0.01	414.76	0.00	10.47	10.47	915.41
1980 09 10 12	44928.00	2.64	329.72	0.00	11.76	11.76	1036.49
1980 09 11 12	44928.00	1.49	263.90	0.00	11.48	11.48	972.43
1980 09 12 12	44582.40	0.36	265.77	0.00	9.59	9.59	823.31
1980 09 13 12	44582.40	0.01	395.14	0.00	8.46	8.46	813.68
1980 09 14 12	44236.80	37.43	157.47	0.00	12.91	12.91	1357.17
1980 09 15 12	44236.80	3.06	239.37	0.00	11.84	11.84	1180.68
1980 09 16 12	43891.20	0.79	370.07	0.00	11.01	11.01	997.06
1980 09 17 12	43545.60	0.33	254.71	0.00	10.78	10.78	1145.78
1980 09 18 12	43545.60	5.52	273.88	0.00	15.78	15.78	1519.67
1980 09 19 12	43200.00	0.05	324.99	0.00	9.92	9.92	838.63
1980 09 20 12	43200.00	0.41	353.15	0.00	11.72	11.72	1004.59
1980 09 21 12	42854.40	1.09	406.33	0.00	15.39	15.39	1324.05
1980 09 22 12	42854.40	7.33	362.82	0.00	15.79	15.79	1452.16
1980 09 23 12	42508.80	10.06	244.67	0.00	15.92	15.92	1474.87
1980 09 24 12	42168.28	0.00	427.83	0.00	6.45	6.45	639.84
1980 09 25 12	42163.20	0.21	361.28	0.00	6.99	6.99	676.49
1980 09 26 12	41817.60	21.96	182.24	0.00	9.51	9.51	1031.15
1980 09 27 12	41817.60	1.42	339.20	0.00	5.67	5.67	671.77
1980 09 28 12	41472.00	0.09	267.47	0.00	5.49	5.49	637.71
1980 09 29 12	41472.00	0.00	410.98	0.00	2.41	2.41	446.34
1980 09 30 12	41126.40	0.23	224.76	0.00	8.02	8.02	896.49
1980 10 01 12	41126.40	1.60	266.87	0.00	12.64	12.64	1210.94
1980 10 02 12	40780.80	1.21	312.14	0.00	12.96	12.96	1277.42
1980 10 03 12	40468.31	6.55	212.00	0.00	11.33	11.33	1164.66
1980 10 04 12	40435.20	21.26	220.67	0.00	11.54	11.54	1199.22
1980 10 05 12	40089.60	0.00	275.51	0.00	10.97	10.97	930.18
1980 10 06 12	40089.60	0.95	328.15	0.00	10.47	10.47	915.77
1980 10 07 12	39744.00	0.00	146.61	0.00	9.15	9.15	864.79
1980 10 08 12	39744.00	0.09	198.74	0.00	8.89	8.89	877.19
1980 10 09 12	39398.40	0.38	275.73	0.00	6.88	6.88	732.07
1980 10 10 12	39398.40	0.00	362.21	0.00	2.88	2.88	491.50
1980 10 11 12	39052.80	8.21	112.73	0.00	3.61	3.61	648.27
1980 10 12 12	39002.34	7.34	221.49	0.00	9.11	9.11	951.61
1980 10 13 12	38707.20	0.19	146.28	0.00	4.08	4.08	622.50
1980 10 14 12	38519.05	0.03	224.89	0.00	1.09	1.09	482.10
1980 10 15 12	38361.60	0.00	349.42	0.00	1.29	1.29	452.25
1980 10 16 12	38049.11	0.00	307.03	0.00	4.02	4.02	571.03
1980 10 17 12	38016.00	0.00	273.20	0.00	7.15	7.15	773.95
1980 10 18 12	37670.40	5.22	170.95	0.00	11.76	11.76	1233.51
1980 10 19 12	37670.40	0.19	234.39	0.00	10.99	10.99	932.50
1980 10 20 12	37324.80	0.13	178.20	0.00	4.81	4.81	587.65
1980 10 21 12	37324.80	0.97	130.64	0.00	3.01	3.01	502.50
1980 10 22 12	36979.20	0.01	195.82	0.00	3.55	3.55	546.12
1980 10 23 12	36979.20	0.52	243.96	0.00	0.50	0.50	403.84
1980 10 24 12	36633.60	4.45	243.27	0.00	1.12	1.12	483.02
1980 10 25 12	36633.60	8.75	243.36	0.00	2.07	2.07	585.28
1980 10 26 12	36288.00	39.95	155.86	0.00	6.84	6.84	881.89
1980 10 27 12	36288.00	0.25	227.43	0.00	0.67	0.67	431.70
1980 10 28 12	35942.40	0.88	163.93	0.00	1.99	1.99	491.92
1980 10 29 12	35942.40	0.00	140.61	0.00	0.08	0.08	438.14
1980 10 30 12	35601.88	0.00	206.21	0.00	0.81	0.81	474.31
1980 10 31 12	35596.80	0.57	227.02	0.00	2.52	2.52	535.07
1980 11 01 12	35284.31	0.30	161.26	0.00	2.30	2.30	470.86
1980 11 02 12	35251.20	0.02	167.72	0.00	-0.83	-0.83	370.90
1980 11 03 12	35063.05	0.14	305.86	0.00	-2.17	-2.17	292.30
1980 11 04 12	34905.60	0.24	212.44	0.00	3.17	3.17	624.38
1980 11 05 12	34788.34	0.45	182.15	0.00	6.43	6.43	786.19
1980 11 06 12	34560.00	0.00	272.52	0.00	-1.33	-1.33	285.04
1980 11 07 12	34559.36	2.50	162.90	0.00	2.37	2.37	557.25
1980 11 08 12	34214.40	13.82	159.80	0.00	4.12	4.12	725.16
1980 11 09 12	34214.40	1.17	202.30	0.00	-2.00	-2.00	324.06
1980 11 10 12	33901.91	1.21	143.53	0.00	1.68	1.68	584.74
1980 11 11 12	33868.80	0.16	198.98	0.00	-1.67	-1.67	404.28
1980 11 12 12	33818.34	0.00	168.46	0.00	-1.21	-1.21	441.87
1980 11 13 12	33523.20	0.04	259.97	0.00	-1.14	-1.14	425.62
1980 11 14 12	33523.20	0.63	165.27	0.00	0.43	0.43	446.66
1980 11 15 12	33272.90	0.01	244.81	0.00	-1.66	-1.66	352.66
1980 11 16 12	33177.60	0.04	210.33	0.00	-3.96	-3.96	254.03
1980 11 17 12	33168.39	0.00	295.83	0.00	-3.72	-3.72	305.79
1980 11 18 12	32837.08	18.06	84.61	0.00	-2.33	-2.33	439.55
1980 11 19 12	32832.00	0.53	236.30	0.00	-3.89	-3.89	362.06
1980 11 20 12	32781.54	0.01	247.50	0.00	-5.30	-5.30	339.21
1980 11 21 12	32491.48	0.01	210.57	0.00	-2.98	-2.98	416.05
1980 11 22 12	32486.40	0.02	283.55	0.00	-1.24	-1.24	488.41
1980 11 23 12	32477.19	3.37	276.76	0.00	-1.85	-1.85	407.81
1980 11 24 12	32173.90	2.57	128.79	0.00	1.31	1.31	464.77
1980 11 25 12	32140.80	20.45	97.19	0.00	2.22	2.22	661.20
1980 11 26 12	32140.16	2.11	269.48	0.00	-2.23	-2.23	424.59
1980 11 27 12	31952.65	0.00	277.48	0.00	-5.07	-5.07	254.99
1980 11 28 12	31795.20	14.41	95.98	0.00	-3.26	-3.26	386.07
1980 11 29 12	31795.20	22.01	207.08	0.00	0.80	0.80	594.10
1980 11 30 12	31785.99	0.00	94.01	0.00	-1.31	-1.31	432.85
1980 12 01 12	31607.05	0.02	138.48	0.00	-0.14	-0.14	479.02
1980 12 02 12	31454.68	0.84	154.41	0.00	0.05	0.05	527.37
1980 12 03 12	31449.60	18.03	89.07	0.00	1.58	1.58	629.79
1980 12 04 12	31449.60	1.93	133.82	0.00	-11.13	-11.13	200.30
1980 12 05 12	31440.39	0.42	228.97	0.00	-11.84	-11.84	187.37
1980 12 06 12	31261.45	0.00	180.50	0.00	-7.34	-7.34	289.01
1980 12 07 12	31137.10	0.00	233.60	0.00	-3.77	-3.77	368.14
1980 12 08 12	31104.00	1.48	150.57	0.00	-1.07	-1.07	463.34
1980 12 09 12	31104.00	2.54	197.81	0.00	-0.95	-0.95	441.94
1980 12 10 12	31104.00	1.65	194.83	0.00	-5.41	-5.41	309.40
1980 12 11 12	31103.35	0.18	228.94	0.00	-10.61	-10.61	214.72
1980 12 12 12	31094.79	0.85	170.11	0.00	-14.85	-14.85	144.45
1980 12 13 12	31053.54	3.53	110.51	0.00	-6.93	-6.93	314.34
1980 12 14 12	30986.74	0.10	158.07	0.00	-10.44	-10.44	201.29
1980 12 15 12	30915.85	0.16	186.11	0.00	-19.38	-19.38	85.21
1980 12 16 12	30853.70	10.59	149.74	0.00	-12.66	-12.66	205.88
1980 12 17 12	30791.50	0.89	208.04	0.00	-11.91	-11.91	204.96
1980 12 18 12	30791.50	0.00	89.90	0.00	-14.03	-14.03	176.50
1980 12 19 12	30791.50	1.08	125.00	0.00	-8.92	-8.92	252.39
