  44.82
 133.00
 587675987
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 28 12	33868.80	0.00	237.42	0.00	-7.25	-7.25	239.33
1980 01 29 12	33950.74	0.00	305.84	0.00	-9.54	-9.54	192.05
1980 01 30 12	34214.40	0.00	135.61	0.00	-13.67	-13.67	122.87
1980 01 31 12	34214.40	0.00	167.23	0.00	-14.28	-14.28	121.68
1980 02 01 12	34481.29	0.00	137.49	0.00	-11.80	-11.80	159.64
1980 02 02 12	34560.00	0.00	239.30	0.00	-12.37	-12.37	143.53
1980 02 03 12	34758.07	0.00	167.97	0.00	-12.22	-12.22	156.63
1980 02 04 12	34905.60	0.00	164.29	0.00	-9.37	-9.37	175.49
1980 02 05 12	34987.54	0.03	125.47	0.00	-8.96	-8.96	213.13
1980 02 06 12	35251.20	0.01	210.91	0.00	-5.71	-5.71	284.13
1980 02 07 12	35251.20	0.00	293.32	0.00	-4.18	-4.18	288.02
1980 02 08 12	35596.80	0.04	336.74	0.00	-4.71	-4.71	278.77
1980 02 09 12	35596.80	0.00	362.74	0.00	-5.92	-5.92	252.37
1980 02 10 12	35942.40	0.00	361.40	0.00	-7.01	-7.01	211.13
1980 02 11 12	35942.40	0.00	302.46	0.00	-6.95	-6.95	207.51
1980 02 12 12	36288.00	0.65	257.17	0.00	-4.54	-4.54	250.17
1980 02 13 12	36288.00	0.00	268.01	0.00	-4.25	-4.25	225.06
1980 02 14 12	36633.60	0.00	195.67	0.00	-4.45	-4.45	242.35
1980 02 15 12	36633.60	0.00	306.50	0.00	-5.28	-5.28	216.65
1980 02 16 12	36979.20	11.62	252.05	0.00	-6.26	-6.26	298.96
1980 02 17 12	36979.20	8.65	290.61	0.00	-7.13	-7.13	312.63
1980 02 18 12	37324.80	0.00	300.30	0.00	-9.44	-9.44	198.83
1980 02 19 12	37324.80	0.00	354.49	0.00	-5.06	-5.06	324.09
1980 02 20 12	37670.40	0.00	377.90	0.00	-0.19	-0.19	463.18
1980 02 21 12	37670.40	0.00	187.59	0.00	-0.59	-0.59	510.37
1980 02 22 12	38016.00	0.03	393.22	0.00	-10.00	-10.00	168.07
1980 02 23 12	38016.00	9.21	182.17	0.00	-3.24	-3.24	431.33
1980 02 24 12	38361.60	0.23	206.72	0.00	-3.78	-3.78	381.28
1980 02 25 12	38361.60	0.70	279.30	0.00	-0.68	-0.68	475.40
1980 02 26 12	38707.20	0.00	350.20	0.00	-5.43	-5.43	272.64
1980 02 27 12	38707.20	0.00	374.60	0.00	-13.03	-13.03	135.55
1980 02 28 12	39052.80	0.97	121.42	0.00	-7.50	-7.50	284.46
1980 02 29 12	39062.68	0.51	268.01	0.00	-11.08	-11.08	204.29
1980 03 01 12	39398.40	0.04	411.11	0.00	-14.66	-14.66	124.07
1980 03 02 12	39628.39	0.00	475.51	0.00	-13.76	-13.76	141.93
1980 03 03 12	39744.00	0.00	474.90	0.00	-10.82	-10.82	172.59
1980 03 04 12	40089.60	0.34	443.26	0.00	-6.80	-6.80	255.85
1980 03 05 12	40089.60	0.89	195.14	0.00	-2.49	-2.49	398.53
1980 03 06 12	40435.20	2.82	338.23	0.00	1.09	1.09	552.09
1980 03 07 12	40435.20	0.94	229.53	0.00	-1.47	-1.47	389.65
1980 03 08 12	40780.80	10.34	167.67	0.00	-0.11	-0.11	540.08
1980 03 09 12	40780.80	5.08	200.65	0.00	-0.32	-0.32	545.24
1980 03 10 12	41126.40	0.00	367.02	0.00	-0.10	-0.10	456.18
1980 03 11 12	41126.40	17.58	174.33	0.00	1.59	1.59	620.47
1980 03 12 12	41472.00	0.22	185.38	0.00	-9.33	-9.33	180.42
1980 03 13 12	41817.60	0.00	511.15	0.00	-10.14	-10.14	155.84
1980 03 14 12	41817.60	25.42	112.29	0.00	-2.63	-2.63	450.67
1980 03 15 12	42163.20	2.38	120.38	0.00	-3.35	-3.35	412.46
1980 03 16 12	42163.20	0.00	519.70	0.00	-10.27	-10.27	189.93
1980 03 17 12	42508.80	0.02	239.45	0.00	-5.30	-5.30	297.94
1980 03 18 12	42508.80	54.11	131.35	0.00	3.53	3.53	736.74
1980 03 19 12	42854.40	0.00	394.17	0.00	-3.17	-3.17	248.41
1980 03 20 12	42854.40	0.00	293.77	0.00	-2.15	-2.15	301.66
1980 03 21 12	43200.00	0.00	508.91	0.00	1.31	1.31	453.02
1980 03 22 12	43545.60	0.00	482.20	0.00	2.01	2.01	515.23
1980 03 23 12	43545.60	0.00	369.11	0.00	3.48	3.48	579.25
1980 03 24 12	43891.20	0.00	478.91	0.00	3.01	3.01	533.19
1980 03 25 12	43891.20	2.15	306.61	0.00	3.26	3.26	556.82
1980 03 26 12	44236.80	1.60	221.17	0.00	2.54	2.54	566.30
1980 03 27 12	44236.80	0.24	325.08	0.00	2.22	2.22	522.44
1980 03 28 12	44582.40	0.00	282.28	0.00	3.25	3.25	529.83
1980 03 29 12	44582.40	0.06	226.50	0.00	5.15	5.15	667.22
1980 03 30 12	44928.00	2.95	99.61	0.00	4.72	4.72	745.72
1980 03 31 12	45273.60	0.00	432.88	0.00	3.27	3.27	475.31
1980 04 01 12	45273.60	0.00	515.69	0.00	3.48	3.48	401.91
1980 04 02 12	45619.20	0.00	482.07	0.00	5.18	5.18	514.59
1980 04 03 12	45619.20	1.61	413.47	0.00	6.92	6.92	625.74
1980 04 04 12	45964.80	13.38	289.79	0.00	5.15	5.15	699.29
1980 04 05 12	45964.80	5.44	317.86	0.00	5.00	5.00	712.51
1980 04 06 12	46310.40	0.00	512.44	0.00	3.45	3.45	462.72
1980 04 07 12	46310.40	0.00	543.32	0.00	2.45	2.45	396.89
1980 04 08 12	46656.00	0.00	513.57	0.00	3.32	3.32	643.16
1980 04 09 12	46771.61	0.04	437.36	0.00	5.55	5.55	756.34
1980 04 10 12	47001.60	19.44	149.92	0.00	4.26	4.26	743.44
1980 04 11 12	47337.32	9.76	461.41	0.00	9.65	9.65	999.06
1980 04 12 12	47347.20	2.07	397.79	0.00	9.17	9.17	835.20
1980 04 13 12	47692.80	3.24	316.99	0.00	9.59	9.59	928.92
1980 04 14 12	47692.80	0.15	449.92	0.00	7.86	7.86	689.69
1980 04 15 12	48038.40	7.65	247.04	0.00	8.72	8.72	1041.87
1980 04 16 12	48038.40	1.13	174.55	0.00	7.94	7.94	873.72
1980 04 17 12	48384.00	0.23	487.49	0.00	2.46	2.46	408.18
1980 04 18 12	48384.00	0.00	217.90	0.00	3.22	3.22	393.65
1980 04 19 12	48729.60	0.22	523.44	0.00	6.01	6.01	546.08
1980 04 20 12	48729.60	0.39	499.46	0.00	7.77	7.77	665.67
1980 04 21 12	49075.20	4.36	423.71	0.00	9.43	9.43	859.26
1980 04 22 12	49075.20	4.02	276.82	0.00	4.82	4.82	644.45
1980 04 23 12	49420.80	11.46	175.40	0.00	6.23	6.23	867.63
1980 04 24 12	49420.80	0.93	530.63	0.00	9.86	9.86	926.27
1980 04 25 12	49766.40	0.01	443.71	0.00	12.90	12.90	1084.67
1980 04 26 12	49766.40	4.13	201.33	0.00	10.48	10.48	1088.52
1980 04 27 12	50112.00	0.63	157.78	0.00	10.13	10.13	1100.06
1980 04 28 12	50112.00	0.02	559.62	0.00	6.47	6.47	680.83
1980 04 29 12	50457.60	8.16	262.23	0.00	4.67	4.67	716.85
1980 04 30 12	50457.60	27.86	319.63	0.00	8.95	8.95	1031.17
1980 05 01 12	50803.20	0.03	362.24	0.00	11.83	11.83	1074.17
1980 05 02 12	50803.20	0.00	461.54	0.00	9.49	9.49	766.32
1980 05 03 12	51148.80	0.00	523.30	0.00	8.20	8.20	693.44
1980 05 04 12	51148.80	0.19	454.18	0.00	8.52	8.52	738.33
1980 05 05 12	51412.46	0.00	362.77	0.00	7.42	7.42	683.72
1980 05 06 12	51494.40	0.36	453.89	0.00	9.68	9.68	751.38
1980 05 07 12	51641.93	4.75	304.16	0.00	7.71	7.71	864.57
1980 05 08 12	51840.00	19.06	160.69	0.00	7.94	7.94	986.70
1980 05 09 12	51862.40	2.04	269.76	0.00	9.15	9.15	993.03
1980 05 10 12	52185.60	0.02	255.57	0.00	8.65	8.65	796.85
1980 05 11 12	52185.60	0.33	443.28	0.00	10.04	10.04	846.15
1980 05 12 12	52449.26	0.19	482.97	0.00	14.38	14.38	1223.20
1980 05 13 12	52531.20	0.14	331.16	0.00	13.96	13.96	1132.36
1980 05 14 12	52646.81	0.64	317.10	0.00	12.77	12.77	1152.12
1980 05 15 12	52876.80	0.00	358.57	0.00	10.89	10.89	895.76
1980 05 16 12	52876.80	0.81	442.75	0.00	12.59	12.59	919.10
1980 05 17 12	53075.75	0.00	533.70	0.00	11.50	11.50	786.93
1980 05 18 12	53222.40	1.12	351.86	0.00	9.76	9.76	846.01
1980 05 19 12	53244.80	4.23	276.61	0.00	12.45	12.45	1237.12
1980 05 20 12	53558.12	0.00	511.81	0.00	14.85	14.85	1055.52
1980 05 21 12	53568.00	1.16	520.90	0.00	12.64	12.64	1112.12
1980 05 22 12	53590.40	0.00	522.44	0.00	14.64	14.64	1186.65
1980 05 23 12	53903.73	0.00	481.22	0.00	13.48	13.48	954.56
1980 05 24 12	53913.60	0.00	528.69	0.00	13.82	13.82	904.15
1980 05 25 12	53936.00	0.09	475.79	0.00	12.45	12.45	851.62
1980 05 26 12	54112.55	0.11	194.48	0.00	7.75	7.75	743.31
1980 05 27 12	54259.20	0.04	121.87	0.00	8.29	8.29	820.99
1980 05 28 12	54259.20	0.01	281.68	0.00	9.26	9.26	847.55
1980 05 29 12	54374.81	0.01	381.67	0.00	11.79	11.79	917.80
1980 05 30 12	54594.93	0.00	526.39	0.00	14.22	14.22	975.03
1980 05 31 12	54604.80	0.15	147.80	0.00	12.34	12.34	1135.97
1980 06 01 12	54604.80	0.46	415.15	0.00	16.42	16.42	1585.60
1980 06 02 12	54683.51	0.88	185.50	0.00	16.02	16.02	1443.87
1980 06 03 12	54803.75	3.25	204.80	0.00	12.70	12.70	1343.76
1980 06 04 12	54950.40	6.59	116.88	0.00	11.25	11.25	1240.39
1980 06 05 12	54950.40	3.28	292.87	0.00	12.68	12.68	1145.87
1980 06 06 12	54950.40	0.00	528.60	0.00	14.45	14.45	1032.05
1980 06 07 12	55029.11	5.30	233.09	0.00	12.66	12.66	1201.68
1980 06 08 12	55097.93	7.50	268.13	0.00	13.76	13.76	1486.55
1980 06 09 12	55214.06	2.48	379.68	0.00	8.59	8.59	910.49
1980 06 10 12	55296.00	6.31	460.06	0.00	10.25	10.25	942.30
1980 06 11 12	55296.00	0.00	324.62	0.00	10.03	10.03	882.55
1980 06 12 12	55296.00	0.00	337.58	0.00	10.72	10.72	943.41
1980 06 13 12	55296.00	0.00	517.47	0.00	13.83	13.83	1118.61
1980 06 14 12	55296.00	0.11	525.40	0.00	14.27	14.27	1219.32
1980 06 15 12	55318.40	3.20	455.22	0.00	17.35	17.35	1600.12
1980 06 16 12	55374.71	10.55	434.69	0.00	16.04	16.04	1449.96
1980 06 17 12	55374.71	0.00	380.76	0.00	14.15	14.15	1126.86
1980 06 18 12	55411.61	0.00	414.93	0.00	12.14	12.14	1146.37
1980 06 19 12	55411.61	0.56	472.26	0.00	13.32	13.32	1267.77
1980 06 20 12	55411.61	0.36	522.90	0.00	12.88	12.88	1099.35
1980 06 21 12	55411.61	9.05	351.22	0.00	13.41	13.41	1331.22
1980 06 22 12	55411.61	0.23	512.24	0.00	15.48	15.48	1363.53
1980 06 23 12	55411.61	0.07	515.73	0.00	19.71	19.71	1594.42
1980 06 24 12	55374.71	0.08	369.59	0.00	20.34	20.34	1771.27
1980 06 25 12	55318.40	0.00	463.74	0.00	24.02	24.02	2176.38
1980 06 26 12	55296.00	0.81	451.13	0.00	23.63	23.63	2286.52
1980 06 27 12	55296.00	2.64	404.88	0.00	20.44	20.44	2033.66
1980 06 28 12	55296.00	0.00	530.87	0.00	13.71	13.71	1060.63
1980 06 29 12	55296.00	0.34	473.09	0.00	15.07	15.07	1111.21
1980 06 30 12	55296.00	3.85	166.98	0.00	14.18	14.18	1485.70
1980 07 01 12	55286.12	0.71	363.58	0.00	15.79	15.79	1521.97
1980 07 02 12	55149.35	2.94	219.15	0.00	15.68	15.68	1615.89
1980 07 03 12	55066.01	0.43	492.06	0.00	18.59	18.59	1752.02
1980 07 04 12	54972.80	0.02	409.96	0.00	18.54	18.54	1659.83
1980 07 05 12	54950.40	0.00	394.56	0.00	17.79	17.79	1505.00
1980 07 06 12	54950.40	2.20	339.63	0.00	16.20	16.20	1484.76
1980 07 07 12	54940.52	1.90	343.66	0.00	13.77	13.77	1107.84
1980 07 08 12	54752.33	7.41	260.04	0.00	15.93	15.93	1415.20
1980 07 09 12	54627.19	4.78	398.25	0.00	17.28	17.28	1589.31
1980 07 10 12	54604.80	0.04	436.85	0.00	17.03	17.03	1434.08
1980 07 11 12	54604.80	3.56	440.24	0.00	16.49	16.49	1594.84
1980 07 12 12	54458.15	4.63	386.32	0.00	16.85	16.85	1600.08
1980 07 13 12	54281.60	2.35	291.03	0.00	13.42	13.42	1290.64
1980 07 14 12	54259.20	1.66	390.21	0.00	18.09	18.09	1639.28
1980 07 15 12	54249.32	0.13	202.17	0.00	20.03	20.03	1958.99
1980 07 16 12	54029.21	3.17	273.52	0.00	22.15	22.15	2323.55
1980 07 17 12	53913.60	12.06	296.48	0.00	21.97	21.97	2306.08
1980 07 18 12	53913.60	2.08	474.69	0.00	22.04	22.04	2030.47
1980 07 19 12	53715.53	0.00	405.43	0.00	21.09	21.09	1795.19
1980 07 20 12	53568.00	0.47	361.42	0.00	21.55	21.55	2125.69
1980 07 21 12	53568.00	3.90	216.72	0.00	22.24	22.24	2227.37
1980 07 22 12	53369.93	12.20	288.63	0.00	21.06	21.06	2217.79
1980 07 23 12	53222.40	11.52	255.95	0.00	20.75	20.75	2184.98
1980 07 24 12	53222.40	1.31	314.65	0.00	20.27	20.27	1933.80
1980 07 25 12	52955.51	0.13	484.11	0.00	20.59	20.59	1755.54
1980 07 26 12	52876.80	0.44	341.65	0.00	22.00	22.00	2022.34
1980 07 27 12	52794.86	0.22	239.40	0.00	21.56	21.56	2047.83
1980 07 28 12	52531.20	0.04	472.42	0.00	20.01	20.01	2001.88
1980 07 29 12	52531.20	7.67	341.35	0.00	18.18	18.18	1933.76
1980 07 30 12	52301.21	23.81	259.75	0.00	20.24	20.24	2180.29
1980 07 31 12	52185.60	1.45	355.88	0.00	21.17	21.17	2046.26
1980 08 01 12	52103.66	0.14	497.74	0.00	21.53	21.53	1992.86
1980 08 02 12	51840.00	1.53	406.73	0.00	20.92	20.92	2130.64
1980 08 03 12	51840.00	2.86	246.69	0.00	20.32	20.32	2203.22
1980 08 04 12	51494.40	1.28	295.48	0.00	21.75	21.75	2200.81
1980 08 05 12	51494.40	0.61	488.57	0.00	22.75	22.75	2109.92
1980 08 06 12	51227.51	10.47	386.11	0.00	21.08	21.08	2154.50
1980 08 07 12	51148.80	0.03	363.13	0.00	23.06	23.06	2371.19
1980 08 08 12	50918.81	0.38	393.19	0.00	22.97	22.97	2222.01
1980 08 09 12	50803.20	12.29	333.68	0.00	23.32	23.32	2343.53
1980 08 10 12	50605.13	0.00	465.16	0.00	17.12	17.12	1355.59
1980 08 11 12	50457.60	1.36	221.29	0.00	15.20	15.20	1467.04
1980 08 12 12	50310.95	1.73	166.37	0.00	16.03	16.03	1715.37
1980 08 13 12	50112.00	0.87	370.49	0.00	18.12	18.12	1744.69
1980 08 14 12	50030.06	0.05	285.39	0.00	17.62	17.62	1627.24
1980 08 15 12	49766.40	1.23	411.15	0.00	19.22	19.22	1872.41
1980 08 16 12	49684.46	1.85	330.13	0.00	16.94	16.94	1465.84
1980 08 17 12	49420.80	0.00	499.80	0.00	15.83	15.83	1235.59
1980 08 18 12	49338.86	0.00	487.78	0.00	17.13	17.13	1381.73
1980 08 19 12	49075.20	0.21	310.76	0.00	17.26	17.26	1532.92
1980 08 20 12	48993.26	0.15	214.30	0.00	16.37	16.37	1561.56
1980 08 21 12	48729.60	0.00	490.75	0.00	16.14	16.14	1383.79
1980 08 22 12	48582.95	0.00	478.32	0.00	16.94	16.94	1380.29
1980 08 23 12	48384.00	0.11	488.24	0.00	19.02	19.02	1457.68
1980 08 24 12	48185.93	0.06	472.46	0.00	20.80	20.80	1769.82
1980 08 25 12	48038.40	0.12	371.25	0.00	21.31	21.31	1915.02
1980 08 26 12	47715.19	0.85	323.35	0.00	21.00	21.00	1976.84
1980 08 27 12	47692.80	0.49	237.65	0.00	21.22	21.22	2105.13
1980 08 28 12	47347.20	4.54	437.28	0.00	18.63	18.63	1618.30
1980 08 29 12	47347.20	0.00	421.57	0.00	15.93	15.93	1227.27
1980 08 30 12	47001.60	0.00	342.24	0.00	18.20	18.20	1495.36
1980 08 31 12	47001.60	0.85	324.08	0.00	20.16	20.16	2042.75
1980 09 01 12	46656.00	3.41	256.65	0.00	21.34	21.34	2175.62
1980 09 02 12	46656.00	1.99	368.99	0.00	23.24	23.24	2389.99
1980 09 03 12	46310.40	4.85	436.01	0.00	21.24	21.24	1895.13
1980 09 04 12	46310.40	0.00	450.32	0.00	15.12	15.12	1179.16
1980 09 05 12	45964.80	0.08	357.91	0.00	16.46	16.46	1438.27
1980 09 06 12	45734.81	3.11	336.75	0.00	18.58	18.58	1633.87
1980 09 07 12	45619.20	0.00	433.33	0.00	16.18	16.18	1215.78
1980 09 08 12	45273.60	0.00	363.28	0.00	13.51	13.51	1035.75
1980 09 09 12	45273.60	0.00	348.20	0.00	12.42	12.42	1023.82
1980 09 10 12	44928.00	2.35	397.46	0.00	13.95	13.95	1203.06
1980 09 11 12	44928.00	1.81	244.09	0.00	12.30	12.30	1074.56
1980 09 12 12	44582.40	0.92	345.35	0.00	11.90	11.90	1017.32
1980 09 13 12	44582.40	0.00	352.25	0.00	9.54	9.54	890.31
1980 09 14 12	44236.80	29.47	145.38	0.00	12.00	12.00	1302.68
1980 09 15 12	44090.15	5.58	220.53	0.00	13.30	13.30	1332.52
1980 09 16 12	43891.20	0.00	429.28	0.00	13.10	13.10	1085.05
1980 09 17 12	43545.60	0.67	286.55	0.00	12.31	12.31	1316.13
1980 09 18 12	43545.60	25.10	214.17	0.00	17.09	17.09	1766.59
1980 09 19 12	43200.00	0.00	395.95	0.00	11.04	11.04	970.31
1980 09 20 12	43200.00	0.62	381.97	0.00	10.59	10.59	923.29
1980 09 21 12	42854.40	4.80	415.00	0.00	15.65	15.65	1374.06
1980 09 22 12	42854.40	4.76	304.47	0.00	15.44	15.44	1477.95
1980 09 23 12	42508.80	2.43	239.26	0.00	17.58	17.58	1740.97
1980 09 24 12	42361.27	0.00	427.82	0.00	8.10	8.10	743.40
1980 09 25 12	42163.20	0.00	385.64	0.00	7.80	7.80	719.43
1980 09 26 12	41817.60	35.36	182.89	0.00	12.13	12.13	1283.62
1980 09 27 12	41817.60	0.90	280.36	0.00	8.66	8.66	838.63
1980 09 28 12	41472.00	0.04	324.87	0.00	8.21	8.21	738.37
1980 09 29 12	41472.00	0.00	413.31	0.00	4.12	4.12	510.27
1980 09 30 12	41126.40	0.05	277.38	0.00	9.19	9.19	978.73
1980 10 01 12	41126.40	0.06	359.71	0.00	14.24	14.24	1291.81
1980 10 02 12	40780.80	0.51	173.04	0.00	13.11	13.11	1374.15
1980 10 03 12	40665.19	5.43	82.95	0.00	12.66	12.66	1380.20
1980 10 04 12	40435.20	34.21	290.32	0.00	14.72	14.72	1533.94
1980 10 05 12	40089.60	0.00	340.27	0.00	14.10	14.10	1255.03
1980 10 06 12	40089.60	0.82	253.75	0.00	12.18	12.18	1167.55
1980 10 07 12	39744.00	3.80	172.97	0.00	9.97	9.97	1041.44
1980 10 08 12	39744.00	0.15	278.05	0.00	9.99	9.99	966.25
1980 10 09 12	39398.40	0.22	312.61	0.00	9.44	9.44	929.56
1980 10 10 12	39398.40	0.00	359.33	0.00	4.94	4.94	551.14
1980 10 11 12	39052.80	18.73	98.44	0.00	6.17	6.17	867.98
1980 10 12 12	39052.80	13.43	300.00	0.00	13.11	13.11	1297.29
1980 10 13 12	38707.20	0.00	175.95	0.00	7.79	7.79	807.22
1980 10 14 12	38684.81	0.00	180.64	0.00	3.52	3.52	565.04
1980 10 15 12	38361.60	0.00	304.04	0.00	3.32	3.32	511.72
1980 10 16 12	38245.99	0.04	317.03	0.00	5.58	5.58	664.02
1980 10 17 12	38016.00	0.04	337.30	0.00	8.79	8.79	863.83
1980 10 18 12	37817.05	14.45	189.29	0.00	12.78	12.78	1372.55
1980 10 19 12	37670.40	1.08	290.21	0.00	13.89	13.89	1267.53
1980 10 20 12	37406.74	0.00	244.86	0.00	7.72	7.72	736.71
1980 10 21 12	37324.80	0.00	249.42	0.00	4.98	4.98	579.22
1980 10 22 12	37061.14	0.00	214.66	0.00	6.53	6.53	690.06
1980 10 23 12	36979.20	0.09	190.03	0.00	3.12	3.12	488.45
1980 10 24 12	36715.54	0.00	327.74	0.00	4.23	4.23	538.25
1980 10 25 12	36633.60	5.68	275.11	0.00	4.66	4.66	668.67
1980 10 26 12	36369.94	33.99	114.59	0.00	9.18	9.18	1015.41
1980 10 27 12	36288.00	0.73	231.42	0.00	3.66	3.66	522.65
1980 10 28 12	36089.05	0.04	148.43	0.00	4.40	4.40	591.32
1980 10 29 12	35942.40	0.00	123.62	0.00	2.77	2.77	535.77
1980 10 30 12	35794.87	0.00	212.28	0.00	2.65	2.65	535.98
1980 10 31 12	35596.80	0.02	279.24	0.00	4.75	4.75	614.30
1980 11 01 12	35481.19	0.01	206.04	0.00	4.48	4.48	587.84
1980 11 02 12	35251.20	0.02	136.15	0.00	1.37	1.37	438.62
1980 11 03 12	35228.81	0.00	288.24	0.00	-0.29	-0.29	313.07
1980 11 04 12	34905.60	0.65	199.87	0.00	5.60	5.60	790.58
1980 11 05 12	34905.60	5.07	283.98	0.00	10.64	10.64	1069.51
1980 11 06 12	34560.00	0.00	312.62	0.00	0.84	0.84	349.85
1980 11 07 12	34560.00	0.41	115.63	0.00	4.01	4.01	639.93
1980 11 08 12	34296.34	10.27	124.92	0.00	7.40	7.40	935.26
1980 11 09 12	34214.40	2.22	266.19	0.00	0.33	0.33	382.66
1980 11 10 12	34098.79	8.33	140.73	0.00	4.09	4.09	767.74
1980 11 11 12	33868.80	1.46	152.77	0.00	1.61	1.61	569.32
1980 11 12 12	33868.80	0.00	283.89	0.00	3.05	3.05	628.65
1980 11 13 12	33605.14	0.00	292.63	0.00	1.47	1.47	534.36
1980 11 14 12	33523.20	4.42	123.28	0.00	0.88	0.88	538.21
1980 11 15 12	33444.49	0.00	235.81	0.00	0.29	0.29	415.29
1980 11 16 12	33177.60	0.00	220.96	0.00	-1.53	-1.53	311.94
1980 11 17 12	33177.60	0.00	298.19	0.00	-0.85	-0.85	388.14
1980 11 18 12	33030.07	22.19	82.83	0.00	-0.08	-0.08	540.66
1980 11 19 12	32832.00	1.85	222.05	0.00	-0.83	-0.83	475.30
1980 11 20 12	32832.00	0.00	204.87	0.00	-3.43	-3.43	388.55
1980 11 21 12	32684.47	2.55	196.51	0.00	-1.05	-1.05	511.47
1980 11 22 12	32486.40	8.55	154.57	0.00	1.72	1.72	625.42
1980 11 23 12	32486.40	1.21	279.51	0.00	-0.72	-0.72	492.21
1980 11 24 12	32370.79	2.15	176.69	0.00	2.05	2.05	616.01
1980 11 25 12	32150.68	29.22	90.96	0.00	5.06	5.06	841.12
1980 11 26 12	32140.80	4.98	132.55	0.00	1.91	1.91	582.11
1980 11 27 12	32118.40	0.00	277.76	0.00	-1.96	-1.96	303.10
1980 11 28 12	31941.85	12.09	147.41	0.00	-0.76	-0.76	464.22
1980 11 29 12	31795.20	26.06	254.14	0.00	3.82	3.82	722.29
1980 11 30 12	31795.20	0.00	74.52	0.00	0.73	0.73	499.13
1980 12 01 12	31772.80	0.00	157.90	0.00	1.63	1.63	525.08
1980 12 02 12	31647.67	2.03	213.32	0.00	1.70	1.70	581.65
1980 12 03 12	31459.48	14.53	151.11	0.00	6.14	6.14	861.23
1980 12 04 12	31449.60	0.70	61.50	0.00	-4.35	-4.35	350.38
1980 12 05 12	31449.60	0.91	140.34	0.00	-7.20	-7.20	282.31
1980 12 06 12	31427.20	0.30	132.11	0.00	-3.68	-3.68	386.27
1980 12 07 12	31333.99	0.00	243.15	0.00	-2.22	-2.22	453.93
1980 12 08 12	31250.65	1.03	115.31	0.00	-0.82	-0.82	506.70
1980 12 09 12	31113.88	3.25	207.95	0.00	1.01	1.01	550.69
1980 12 10 12	31104.00	1.21	228.23	0.00	-3.53	-3.53	331.99
1980 12 11 12	31104.00	0.10	213.24	0.00	-6.81	-6.81	256.65
1980 12 12 12	31104.00	0.00	196.65	0.00	-12.42	-12.42	120.72
1980 12 13 12	31104.00	4.84	174.41	0.00	-3.13	-3.13	438.84
1980 12 14 12	31104.00	0.00	196.63	0.00	-6.52	-6.52	282.13
1980 12 15 12	31081.60	0.00	208.09	0.00	-15.61	-15.61	109.20
1980 12 16 12	31025.29	11.25	124.72	0.00	-9.62	-9.62	272.34
1980 12 17 12	30988.39	1.31	129.18	0.00	-8.57	-8.57	277.95
1980 12 18 12	30988.39	0.00	96.54	0.00	-11.19	-11.19	243.63
1980 12 19 12	30988.39	7.94	93.86	0.00	-5.91	-5.91	350.57
