  45.06
 318.00
 771486538
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 02 04 12	34830.02	0.00	279.28	0.00	-13.58	-13.58	134.08
1980 02 05 12	34905.60	0.00	290.26	0.00	-10.36	-10.36	165.54
1980 02 06 12	35055.53	0.00	280.78	0.00	-10.17	-10.17	168.04
1980 02 07 12	35251.20	0.00	332.02	0.00	-9.47	-9.47	158.54
1980 02 08 12	35329.27	0.00	298.36	0.00	-9.30	-9.30	170.09
1980 02 09 12	35596.80	0.00	330.41	0.00	-9.23	-9.23	157.42
1980 02 10 12	35601.22	0.00	352.94	0.00	-11.05	-11.05	116.73
1980 02 11 12	35942.40	0.01	334.90	0.00	-10.99	-10.99	128.72
1980 02 12 12	35942.40	0.00	347.18	0.00	-9.54	-9.54	153.77
1980 02 13 12	36288.00	0.00	340.95	0.00	-7.88	-7.88	178.67
1980 02 14 12	36288.00	0.00	319.05	0.00	-8.06	-8.06	190.85
1980 02 15 12	36633.60	0.00	319.93	0.00	-7.25	-7.25	206.54
1980 02 16 12	36633.60	14.29	251.96	0.00	-8.23	-8.23	193.17
1980 02 17 12	36979.20	3.78	268.39	0.00	-11.05	-11.05	155.60
1980 02 18 12	36983.62	0.01	347.42	0.00	-14.38	-14.38	113.72
1980 02 19 12	37324.80	0.00	383.66	0.00	-11.23	-11.23	131.24
1980 02 20 12	37402.88	0.00	387.56	0.00	-6.08	-6.08	212.30
1980 02 21 12	37670.40	0.00	342.40	0.00	-0.05	-0.05	332.15
1980 02 22 12	37820.33	7.33	316.61	0.00	-8.16	-8.16	138.07
1980 02 23 12	38016.00	2.02	353.57	0.00	-11.21	-11.21	132.91
1980 02 24 12	38325.66	0.34	293.06	0.00	-6.55	-6.55	209.90
1980 02 25 12	38361.60	0.08	349.33	0.00	-7.05	-7.05	195.32
1980 02 26 12	38707.20	0.00	410.47	0.00	-8.36	-8.36	141.10
1980 02 27 12	38707.20	0.21	318.04	0.00	-15.12	-15.12	86.37
1980 02 28 12	39052.80	1.24	303.16	0.00	-14.88	-14.88	95.38
1980 02 29 12	39052.80	0.62	352.86	0.00	-15.18	-15.18	89.41
1980 03 01 12	39398.40	0.00	399.03	0.00	-15.48	-15.48	83.44
1980 03 02 12	39398.40	0.00	425.59	0.00	-16.89	-16.89	70.17
1980 03 03 12	39744.00	0.00	437.08	0.00	-16.56	-16.56	69.39
1980 03 04 12	39748.42	0.00	445.18	0.00	-12.58	-12.58	105.07
1980 03 05 12	40089.60	3.15	335.19	0.00	-5.73	-5.73	205.76
1980 03 06 12	40435.20	0.98	276.44	0.00	-3.08	-3.08	280.24
1980 03 07 12	40435.20	1.59	314.55	0.00	-6.13	-6.13	228.68
1980 03 08 12	40780.80	6.98	310.76	0.00	-3.27	-3.27	290.29
1980 03 09 12	40780.80	1.87	205.46	0.00	-2.41	-2.41	331.62
1980 03 10 12	41126.40	0.84	348.68	0.00	-7.32	-7.32	201.59
1980 03 11 12	41126.40	10.22	339.76	0.00	-3.53	-3.53	238.80
1980 03 12 12	41472.00	2.63	458.28	0.00	-7.22	-7.22	160.41
1980 03 13 12	41550.07	3.09	336.51	0.00	-13.55	-13.55	116.40
1980 03 14 12	41817.60	9.94	351.15	0.00	-9.71	-9.71	173.93
1980 03 15 12	42163.20	2.43	320.17	0.00	-5.38	-5.38	246.03
1980 03 16 12	42163.20	0.01	439.46	0.00	-8.11	-8.11	185.59
1980 03 17 12	42508.80	16.67	359.89	0.00	-7.15	-7.15	214.46
1980 03 18 12	42508.80	13.91	363.99	0.00	-1.47	-1.47	314.09
1980 03 19 12	42854.40	2.51	478.32	0.00	-1.00	-1.00	289.97
1980 03 20 12	42854.40	0.00	469.22	0.00	-4.70	-4.70	237.31
1980 03 21 12	43200.00	0.00	482.48	0.00	-2.17	-2.17	306.17
1980 03 22 12	43545.60	0.01	393.01	0.00	1.60	1.60	434.43
1980 03 23 12	43545.60	0.00	405.10	0.00	2.45	2.45	462.18
1980 03 24 12	43891.20	0.00	437.53	0.00	1.43	1.43	419.57
1980 03 25 12	43891.20	0.05	381.16	0.00	1.66	1.66	440.48
1980 03 26 12	44236.80	1.12	263.10	0.00	1.66	1.66	478.72
1980 03 27 12	44236.80	0.36	288.14	0.00	0.35	0.35	427.51
1980 03 28 12	44582.40	0.02	474.55	0.00	-1.54	-1.54	345.64
1980 03 29 12	44849.93	1.22	380.37	0.00	3.17	3.17	457.29
1980 03 30 12	44928.00	0.44	479.06	0.00	4.69	4.69	450.15
1980 03 31 12	45273.60	0.03	529.18	0.00	1.67	1.67	338.49
1980 04 01 12	45273.60	0.00	522.74	0.00	1.45	1.45	340.71
1980 04 02 12	45619.20	0.00	532.67	0.00	2.29	2.29	361.25
1980 04 03 12	45619.20	0.00	527.90	0.00	3.59	3.59	400.21
1980 04 04 12	45964.80	10.51	420.59	0.00	3.54	3.54	416.58
1980 04 05 12	45964.80	2.78	255.20	0.00	1.77	1.77	468.99
1980 04 06 12	46310.40	0.00	423.06	0.00	0.17	0.17	385.05
1980 04 07 12	46577.93	0.00	539.58	0.00	-2.09	-2.09	298.06
1980 04 08 12	46656.00	0.00	514.06	0.00	2.52	2.52	431.47
1980 04 09 12	47001.60	3.15	310.94	0.00	4.20	4.20	557.98
1980 04 10 12	47001.60	10.50	350.12	0.00	4.59	4.59	571.92
1980 04 11 12	47347.20	2.72	333.19	0.00	4.52	4.52	574.68
1980 04 12 12	47347.20	18.39	409.05	0.00	5.48	5.48	557.65
1980 04 13 12	47692.80	4.85	418.48	0.00	6.47	6.47	607.68
1980 04 14 12	47692.80	4.22	397.35	0.00	5.20	5.20	561.48
1980 04 15 12	48038.40	10.30	399.75	0.00	6.65	6.65	594.09
1980 04 16 12	48074.34	2.54	440.15	0.00	5.81	5.81	519.37
1980 04 17 12	48384.00	0.03	511.11	0.00	0.63	0.63	368.95
1980 04 18 12	48579.67	0.00	550.01	0.00	0.92	0.92	359.14
1980 04 19 12	48729.60	0.00	551.92	0.00	1.56	1.56	375.20
1980 04 20 12	48997.12	4.46	443.34	0.00	3.35	3.35	437.42
1980 04 21 12	49075.20	1.19	530.23	0.00	8.06	8.06	517.56
1980 04 22 12	49416.38	8.41	445.74	0.00	2.04	2.04	385.51
1980 04 23 12	49420.80	5.01	312.49	0.00	2.93	2.93	535.96
1980 04 24 12	49766.40	0.90	270.49	0.00	4.08	4.08	624.63
1980 04 25 12	49766.40	0.17	415.90	0.00	6.40	6.40	650.97
1980 04 26 12	50112.00	6.71	375.83	0.00	9.81	9.81	787.51
1980 04 27 12	50112.00	1.76	285.02	0.00	7.56	7.56	729.69
1980 04 28 12	50457.60	0.00	542.10	0.00	5.27	5.27	554.32
1980 04 29 12	50457.60	28.51	390.28	0.00	6.10	6.10	629.83
1980 04 30 12	50798.78	8.28	416.71	0.00	8.62	8.62	763.09
1980 05 01 12	50803.20	0.20	352.83	0.00	9.39	9.39	826.19
1980 05 02 12	51070.73	0.00	567.48	0.00	9.22	9.22	650.45
1980 05 03 12	51148.80	0.02	567.60	0.00	7.03	7.03	529.64
1980 05 04 12	51344.47	0.01	586.50	0.00	10.48	10.48	589.57
1980 05 05 12	51494.40	0.00	594.49	0.00	5.66	5.66	469.23
1980 05 06 12	51569.98	3.28	441.80	0.00	7.46	7.46	608.68
1980 05 07 12	51840.00	8.61	434.98	0.00	10.11	10.11	717.44
1980 05 08 12	51842.36	4.97	234.18	0.00	6.47	6.47	724.62
1980 05 09 12	52185.60	4.39	191.63	0.00	5.52	5.52	716.94
1980 05 10 12	52185.60	0.95	540.38	0.00	6.08	6.08	593.47
1980 05 11 12	52526.78	0.24	446.39	0.00	6.30	6.30	576.27
1980 05 12 12	52531.20	0.06	580.77	0.00	11.21	11.21	735.33
1980 05 13 12	52654.67	0.31	444.08	0.00	13.18	13.18	830.43
1980 05 14 12	52876.80	0.17	515.23	0.00	13.99	13.99	847.38
1980 05 15 12	52876.80	0.49	420.88	0.00	8.14	8.14	657.48
1980 05 16 12	53217.98	0.12	555.72	0.00	9.34	9.34	676.66
1980 05 17 12	53222.40	0.00	578.37	0.00	10.64	10.64	689.45
1980 05 18 12	53297.98	4.40	435.69	0.00	12.10	12.10	801.09
1980 05 19 12	53568.00	1.16	427.26	0.00	12.58	12.58	904.16
1980 05 20 12	53568.00	0.00	568.26	0.00	11.69	11.69	766.17
1980 05 21 12	53691.47	0.00	567.60	0.00	12.38	12.38	788.13
1980 05 22 12	53913.60	0.00	548.55	0.00	13.92	13.92	859.33
1980 05 23 12	53913.60	0.00	577.20	0.00	13.80	13.80	774.89
1980 05 24 12	54037.07	0.00	559.51	0.00	13.04	13.04	774.70
1980 05 25 12	54259.20	0.00	561.12	0.00	13.53	13.53	752.73
1980 05 26 12	54259.20	0.00	560.11	0.00	9.69	9.69	647.83
1980 05 27 12	54334.78	0.12	326.89	0.00	8.77	8.77	733.50
1980 05 28 12	54600.38	0.03	432.54	0.00	7.42	7.42	672.61
1980 05 29 12	54604.80	0.00	505.75	0.00	7.08	7.08	620.16
1980 05 30 12	54604.80	0.00	567.03	0.00	10.30	10.30	716.73
1980 05 31 12	54728.27	0.82	396.83	0.00	15.58	15.58	1034.03
1980 06 01 12	54945.98	0.59	302.25	0.00	15.20	15.20	1149.06
1980 06 02 12	54950.40	2.73	343.29	0.00	14.67	14.67	1098.60
1980 06 03 12	54950.40	3.13	258.28	0.00	12.79	12.79	1047.23
1980 06 04 12	54986.34	1.83	161.88	0.00	9.92	9.92	962.00
1980 06 05 12	55146.07	0.32	368.92	0.00	10.13	10.13	857.04
1980 06 06 12	55296.00	0.00	527.33	0.00	10.67	10.67	775.82
1980 06 07 12	55296.00	0.15	445.71	0.00	13.56	13.56	899.70
1980 06 08 12	55296.00	2.80	389.44	0.00	16.15	16.15	969.41
1980 06 09 12	55298.36	0.73	501.56	0.00	8.41	8.41	651.91
1980 06 10 12	55331.94	0.48	361.02	0.00	7.06	7.06	643.25
1980 06 11 12	55419.47	0.13	525.17	0.00	8.35	8.35	638.61
1980 06 12 12	55563.53	0.00	476.16	0.00	8.23	8.23	666.34
1980 06 13 12	55637.18	0.00	532.64	0.00	10.25	10.25	738.03
1980 06 14 12	55641.60	0.00	551.64	0.00	15.28	15.28	934.20
1980 06 15 12	55641.60	8.54	404.74	0.00	18.18	18.18	1079.35
1980 06 16 12	55641.60	2.46	516.01	0.00	16.74	16.74	926.38
1980 06 17 12	55641.60	0.06	503.45	0.00	11.83	11.83	792.68
1980 06 18 12	55641.60	0.00	512.87	0.00	13.75	13.75	885.56
1980 06 19 12	55641.60	0.01	496.70	0.00	15.15	15.15	905.18
1980 06 20 12	55641.60	21.97	406.19	0.00	13.82	13.82	896.64
1980 06 21 12	55641.60	11.75	351.17	0.00	14.33	14.33	1010.36
1980 06 22 12	55641.60	1.60	444.81	0.00	13.66	13.66	975.78
1980 06 23 12	55641.60	0.01	542.30	0.00	16.50	16.50	1053.35
1980 06 24 12	55641.60	1.16	399.26	0.00	18.83	18.83	1265.02
1980 06 25 12	55641.60	1.64	396.83	0.00	21.05	21.05	1473.68
1980 06 26 12	55641.60	4.05	382.15	0.00	22.22	22.22	1543.02
1980 06 27 12	55637.18	1.19	431.73	0.00	21.78	21.78	1372.70
1980 06 28 12	55563.53	0.06	550.05	0.00	16.35	16.35	909.53
1980 06 29 12	55491.67	1.05	411.86	0.00	12.41	12.41	834.15
1980 06 30 12	55371.58	4.00	395.92	0.00	15.43	15.43	1054.79
1980 07 01 12	55331.94	2.03	180.27	0.00	13.81	13.81	1215.22
1980 07 02 12	55296.00	2.14	317.39	0.00	15.76	15.76	1220.07
1980 07 03 12	55296.00	0.49	399.71	0.00	14.41	14.41	1125.28
1980 07 04 12	55296.00	0.00	510.57	0.00	17.88	17.88	1186.45
1980 07 05 12	55217.93	8.39	395.31	0.00	18.38	18.38	1226.35
1980 07 06 12	55073.87	3.18	357.98	0.00	18.71	18.71	1233.42
1980 07 07 12	54952.76	0.26	474.08	0.00	12.69	12.69	903.29
1980 07 08 12	54950.40	3.19	398.81	0.00	13.50	13.50	961.32
1980 07 09 12	54950.40	0.98	312.99	0.00	14.75	14.75	1092.46
1980 07 10 12	54872.32	0.04	535.23	0.00	13.65	13.65	923.82
1980 07 11 12	54640.74	11.03	391.26	0.00	16.47	16.47	1088.79
1980 07 12 12	54604.80	7.97	388.05	0.00	17.15	17.15	1091.97
1980 07 13 12	54604.80	1.82	330.61	0.00	12.77	12.77	980.42
1980 07 14 12	54454.87	0.24	423.03	0.00	14.02	14.02	1104.77
1980 07 15 12	54261.56	2.64	365.30	0.00	19.00	19.00	1428.35
1980 07 16 12	54259.20	1.09	243.59	0.00	19.85	19.85	1666.57
1980 07 17 12	54181.12	6.54	354.72	0.00	21.76	21.76	1600.08
1980 07 18 12	53949.54	1.69	507.13	0.00	20.20	20.20	1302.34
1980 07 19 12	53913.60	0.86	487.68	0.00	18.94	18.94	1238.26
1980 07 20 12	53909.18	2.05	366.85	0.00	20.75	20.75	1474.95
1980 07 21 12	53570.36	7.98	365.59	0.00	21.59	21.59	1572.40
1980 07 22 12	53568.00	17.53	295.01	0.00	20.68	20.68	1659.46
1980 07 23 12	53489.93	8.59	234.34	0.00	19.95	19.95	1665.87
1980 07 24 12	53222.40	1.33	378.10	0.00	18.71	18.71	1390.51
1980 07 25 12	53222.40	0.05	467.59	0.00	18.89	18.89	1313.81
1980 07 26 12	53000.27	1.02	374.02	0.00	20.34	20.34	1444.96
1980 07 27 12	52876.80	8.44	344.23	0.00	20.32	20.32	1514.96
1980 07 28 12	52872.38	2.18	350.27	0.00	19.11	19.11	1508.43
1980 07 29 12	52531.20	12.68	343.94	0.00	19.92	19.92	1529.65
1980 07 30 12	52531.20	11.74	315.16	0.00	20.14	20.14	1547.06
1980 07 31 12	52261.18	2.21	494.57	0.00	20.08	20.08	1385.10
1980 08 01 12	52185.60	1.70	367.78	0.00	19.19	19.19	1415.88
1980 08 02 12	52035.67	8.61	346.57	0.00	21.84	21.84	1666.41
1980 08 03 12	51840.00	2.82	348.82	0.00	21.92	21.92	1633.77
1980 08 04 12	51840.00	0.41	277.72	0.00	18.34	18.34	1455.50
1980 08 05 12	51494.40	1.88	379.86	0.00	19.28	19.28	1405.01
1980 08 06 12	51494.40	6.66	348.79	0.00	21.45	21.45	1613.55
1980 08 07 12	51148.80	1.66	355.49	0.00	21.35	21.35	1713.70
1980 08 08 12	51148.80	11.98	329.53	0.00	21.69	21.69	1735.47
1980 08 09 12	50805.56	3.56	431.45	0.00	22.99	22.99	1668.99
1980 08 10 12	50803.20	0.11	486.77	0.00	18.78	18.78	1269.83
1980 08 11 12	50493.54	0.00	474.04	0.00	17.33	17.33	1233.73
1980 08 12 12	50457.60	15.45	346.89	0.00	18.26	18.26	1349.58
1980 08 13 12	50147.94	4.10	182.33	0.00	15.32	15.32	1340.53
1980 08 14 12	50112.00	0.10	418.84	0.00	16.57	16.57	1280.78
1980 08 15 12	49802.34	0.07	416.85	0.00	17.75	17.75	1293.41
1980 08 16 12	49766.40	0.81	364.92	0.00	17.20	17.20	1182.43
1980 08 17 12	49423.16	0.21	423.63	0.00	14.42	14.42	1069.78
1980 08 18 12	49420.80	1.55	369.32	0.00	15.09	15.09	1100.14
1980 08 19 12	49075.20	1.50	360.65	0.00	17.49	17.49	1223.41
1980 08 20 12	49075.20	0.67	310.52	0.00	15.44	15.44	1154.19
1980 08 21 12	48729.60	0.10	482.02	0.00	14.42	14.42	1003.74
1980 08 22 12	48729.60	0.00	492.17	0.00	14.95	14.95	980.60
1980 08 23 12	48384.00	0.00	494.85	0.00	15.91	15.91	1035.47
1980 08 24 12	48384.00	0.00	487.03	0.00	18.28	18.28	1176.52
1980 08 25 12	48038.40	0.19	389.08	0.00	19.39	19.39	1302.68
1980 08 26 12	48038.40	0.05	442.25	0.00	20.11	20.11	1476.36
1980 08 27 12	47692.80	5.66	327.58	0.00	21.79	21.79	1619.42
1980 08 28 12	47688.38	1.62	410.50	0.00	19.88	19.88	1333.44
1980 08 29 12	47347.20	0.03	476.84	0.00	16.19	16.19	1037.78
1980 08 30 12	47077.18	0.50	357.71	0.00	15.48	15.48	1039.11
1980 08 31 12	47001.60	7.32	341.74	0.00	17.20	17.20	1253.75
1980 09 01 12	46656.00	12.38	301.10	0.00	20.09	20.09	1593.56
1980 09 02 12	46656.00	7.76	257.18	0.00	20.41	20.41	1696.12
1980 09 03 12	46310.40	1.32	418.34	0.00	20.53	20.53	1475.78
1980 09 04 12	46310.40	0.03	413.39	0.00	15.04	15.04	1010.35
1980 09 05 12	45964.80	0.04	396.36	0.00	14.89	14.89	1068.56
1980 09 06 12	45964.80	0.01	326.51	0.00	15.67	15.67	1206.26
1980 09 07 12	45619.20	0.00	445.87	0.00	14.76	14.76	995.97
1980 09 08 12	45349.18	0.00	458.55	0.00	12.76	12.76	819.44
1980 09 09 12	45273.60	2.26	337.76	0.00	10.64	10.64	786.37
1980 09 10 12	44928.00	1.03	316.84	0.00	12.88	12.88	937.58
1980 09 11 12	44928.00	2.28	284.70	0.00	11.52	11.52	897.00
1980 09 12 12	44582.40	0.57	434.48	0.00	10.82	10.82	782.35
1980 09 13 12	44582.40	12.35	316.46	0.00	9.58	9.58	748.54
1980 09 14 12	44236.80	26.12	317.87	0.00	10.48	10.48	824.97
1980 09 15 12	44236.80	6.18	307.64	0.00	12.20	12.20	931.51
1980 09 16 12	43891.20	0.10	350.24	0.00	8.48	8.48	706.59
1980 09 17 12	43545.60	2.87	308.01	0.00	9.63	9.63	813.24
1980 09 18 12	43545.60	1.26	268.11	0.00	12.88	12.88	1007.10
1980 09 19 12	43200.00	0.13	391.40	0.00	8.28	8.28	722.07
1980 09 20 12	43200.00	0.33	309.26	0.00	8.60	8.60	727.12
1980 09 21 12	42854.40	0.88	266.85	0.00	10.42	10.42	894.62
1980 09 22 12	42854.40	9.19	240.49	0.00	12.92	12.92	1091.84
1980 09 23 12	42508.80	3.89	225.83	0.00	13.72	13.72	1088.55
1980 09 24 12	42163.20	0.40	419.51	0.00	10.30	10.30	685.98
1980 09 25 12	42163.20	7.87	304.68	0.00	6.14	6.14	550.54
1980 09 26 12	41817.60	7.78	300.48	0.00	7.27	7.27	636.34
1980 09 27 12	41817.60	2.51	302.78	0.00	8.73	8.73	721.01
1980 09 28 12	41472.00	0.26	312.69	0.00	4.85	4.85	575.99
1980 09 29 12	41472.00	0.00	407.24	0.00	3.09	3.09	418.01
1980 09 30 12	41126.40	0.39	310.55	0.00	3.21	3.21	509.79
1980 10 01 12	41050.82	0.32	266.14	0.00	9.58	9.58	805.36
1980 10 02 12	40780.80	4.93	181.48	0.00	9.40	9.40	915.50
1980 10 03 12	40435.20	19.81	225.66	0.00	12.17	12.17	1066.93
1980 10 04 12	40435.20	8.07	205.06	0.00	12.50	12.50	1049.76
1980 10 05 12	40089.60	0.85	192.37	0.00	8.96	8.96	886.45
1980 10 06 12	40089.60	0.00	222.06	0.00	7.36	7.36	784.34
1980 10 07 12	39744.00	0.01	308.11	0.00	5.34	5.34	631.40
1980 10 08 12	39744.00	0.17	248.31	0.00	5.58	5.58	645.17
1980 10 09 12	39398.40	0.09	308.31	0.00	7.30	7.30	665.25
1980 10 10 12	39322.82	0.01	342.84	0.00	4.11	4.11	505.67
1980 10 11 12	39052.80	13.91	255.44	0.00	3.34	3.34	497.86
1980 10 12 12	38711.62	3.96	208.84	0.00	4.04	4.04	584.01
1980 10 13 12	38707.20	0.08	291.59	0.00	4.94	4.94	619.75
1980 10 14 12	38361.60	0.00	213.10	0.00	3.61	3.61	576.27
1980 10 15 12	38361.60	0.00	240.42	0.00	-0.09	-0.09	441.16
1980 10 16 12	38016.00	0.00	336.69	0.00	0.31	0.31	388.13
1980 10 17 12	38016.00	0.37	239.47	0.00	1.76	1.76	448.38
1980 10 18 12	37670.40	2.71	238.83	0.00	4.79	4.79	606.97
1980 10 19 12	37670.40	0.69	247.53	0.00	10.12	10.12	875.71
1980 10 20 12	37324.80	0.00	296.52	0.00	7.92	7.92	698.42
1980 10 21 12	37324.80	0.18	272.64	0.00	3.38	3.38	498.79
1980 10 22 12	36979.20	0.20	262.71	0.00	3.24	3.24	504.04
1980 10 23 12	36976.84	0.04	255.76	0.00	1.49	1.49	455.20
1980 10 24 12	36633.60	0.00	255.19	0.00	-0.76	-0.76	391.37
1980 10 25 12	36597.66	30.18	276.99	0.00	0.45	0.45	368.93
1980 10 26 12	36288.00	9.50	274.75	0.00	2.37	2.37	423.44
1980 10 27 12	36252.06	0.41	292.73	0.00	3.87	3.87	537.26
1980 10 28 12	35942.40	0.15	209.02	0.00	1.52	1.52	489.93
1980 10 29 12	35940.04	0.04	281.07	0.00	-0.29	-0.29	429.14
1980 10 30 12	35596.80	0.00	236.60	0.00	0.17	0.17	457.76
1980 10 31 12	35594.44	0.40	229.46	0.00	0.52	0.52	455.65
1980 11 01 12	35251.20	0.18	281.00	0.00	2.75	2.75	500.91
1980 11 02 12	35251.20	0.02	264.15	0.00	0.92	0.92	439.34
1980 11 03 12	34905.60	0.00	292.57	0.00	-2.23	-2.23	351.17
1980 11 04 12	34905.60	0.95	223.55	0.00	-0.42	-0.42	447.61
1980 11 05 12	34560.00	0.36	227.01	0.00	5.49	5.49	644.06
1980 11 06 12	34560.00	0.03	305.15	0.00	1.90	1.90	426.52
1980 11 07 12	34364.33	11.49	196.41	0.00	-0.40	-0.40	432.58
1980 11 08 12	34214.40	4.09	207.93	0.00	3.39	3.39	561.25
1980 11 09 12	34138.82	2.19	238.07	0.00	-0.94	-0.94	350.79
1980 11 10 12	33868.80	0.69	201.97	0.00	-1.49	-1.49	385.17
1980 11 11 12	33868.80	0.36	216.97	0.00	0.75	0.75	468.60
1980 11 12 12	33527.62	0.08	182.71	0.00	-0.99	-0.99	434.72
1980 11 13 12	33523.20	1.24	179.44	0.00	-0.58	-0.58	441.25
1980 11 14 12	33399.73	0.39	175.37	0.00	-0.51	-0.51	439.97
1980 11 15 12	33177.60	0.19	178.11	0.00	-1.35	-1.35	399.76
1980 11 16 12	33177.60	0.05	258.57	0.00	-3.00	-3.00	323.07
1980 11 17 12	32910.07	3.21	183.33	0.00	-4.95	-4.95	294.84
1980 11 18 12	32832.00	10.07	188.33	0.00	-3.24	-3.24	344.86
1980 11 19 12	32829.64	2.43	137.73	0.00	-3.91	-3.91	339.11
1980 11 20 12	32490.82	0.00	267.11	0.00	-7.09	-7.09	235.30
1980 11 21 12	32486.40	0.14	244.55	0.00	-5.39	-5.39	243.47
1980 11 22 12	32450.46	0.04	268.28	0.00	-3.71	-3.71	275.49
1980 11 23 12	32218.88	0.00	271.10	0.00	-3.20	-3.20	284.90
1980 11 24 12	32140.80	17.31	220.54	0.00	-1.50	-1.50	338.06
1980 11 25 12	32138.44	15.87	174.42	0.00	0.64	0.64	453.53
1980 11 26 12	31945.13	3.13	222.97	0.00	-0.37	-0.37	411.46
1980 11 27 12	31795.20	0.04	241.19	0.00	-4.23	-4.23	302.88
1980 11 28 12	31795.20	30.21	203.00	0.00	-4.24	-4.24	315.52
1980 11 29 12	31759.26	8.62	231.77	0.00	-1.38	-1.38	386.79
1980 11 30 12	31527.68	0.18	225.69	0.00	-0.16	-0.16	433.51
1980 12 01 12	31449.60	0.00	205.76	0.00	-1.69	-1.69	408.61
1980 12 02 12	31449.60	12.28	197.49	0.00	-0.84	-0.84	427.65
1980 12 03 12	31447.24	6.51	210.73	0.00	1.08	1.08	430.82
1980 12 04 12	31326.13	1.28	225.07	0.00	-3.59	-3.59	241.20
1980 12 05 12	31182.08	0.19	159.94	0.00	-8.70	-8.70	202.55
1980 12 06 12	31104.00	0.02	215.71	0.00	-9.65	-9.65	210.57
1980 12 07 12	31104.00	0.50	211.70	0.00	-7.96	-7.96	220.22
1980 12 08 12	31104.00	2.07	219.24	0.00	-5.75	-5.75	253.10
1980 12 09 12	31068.06	1.20	196.01	0.00	-1.22	-1.22	363.39
1980 12 10 12	31028.42	0.33	237.91	0.00	-6.28	-6.28	227.83
1980 12 11 12	30908.33	0.12	255.34	0.00	-10.38	-10.38	136.33
1980 12 12 12	30836.48	3.14	208.80	0.00	-17.86	-17.86	80.24
1980 12 13 12	30762.82	0.95	226.35	0.00	-16.10	-16.10	89.24
1980 12 14 12	30758.40	0.19	236.17	0.00	-12.97	-12.97	91.88
1980 12 15 12	30758.40	1.87	223.64	0.00	-16.34	-16.34	68.97
1980 12 16 12	30758.40	7.88	193.44	0.00	-19.02	-19.02	76.81
1980 12 17 12	30758.40	1.95	235.31	0.00	-15.25	-15.25	111.30
1980 12 18 12	30758.40	0.66	221.45	0.00	-16.34	-16.34	92.26
1980 12 19 12	30758.40	0.23	233.84	0.00	-13.12	-13.12	115.98
