  44.82
 133.00
 587675987
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 02 09 12	35596.80	0.00	334.17	0.00	-7.96	-7.96	185.51
1980 02 10 12	35942.40	0.00	341.87	0.00	-8.36	-8.36	167.46
1980 02 11 12	35942.40	0.00	337.30	0.00	-9.12	-9.12	165.33
1980 02 12 12	36288.00	0.62	282.86	0.00	-8.29	-8.29	181.22
1980 02 13 12	36288.00	0.16	347.35	0.00	-6.40	-6.40	204.67
1980 02 14 12	36633.60	0.00	347.36	0.00	-6.22	-6.22	211.29
1980 02 15 12	36633.60	0.00	334.15	0.00	-5.36	-5.36	233.62
1980 02 16 12	36979.20	14.37	262.67	0.00	-6.38	-6.38	224.46
1980 02 17 12	36979.20	6.32	249.29	0.00	-7.65	-7.65	204.42
1980 02 18 12	37324.80	0.67	372.76	0.00	-9.67	-9.67	160.44
1980 02 19 12	37324.80	0.00	379.68	0.00	-6.50	-6.50	210.45
1980 02 20 12	37670.40	0.00	363.66	0.00	-1.16	-1.16	321.64
1980 02 21 12	37670.40	0.00	368.18	0.00	-0.85	-0.85	306.61
1980 02 22 12	38016.00	5.00	313.46	0.00	-6.41	-6.41	177.82
1980 02 23 12	38016.00	3.45	291.58	0.00	-6.29	-6.29	213.44
1980 02 24 12	38361.60	1.68	278.34	0.00	-4.33	-4.33	276.03
1980 02 25 12	38361.60	0.35	318.24	0.00	-3.01	-3.01	290.06
1980 02 26 12	38707.20	0.01	406.24	0.00	-5.89	-5.89	189.88
1980 02 27 12	38707.20	0.09	338.89	0.00	-12.47	-12.47	113.69
1980 02 28 12	39052.80	2.49	296.10	0.00	-11.67	-11.67	137.09
1980 02 29 12	39062.68	1.34	323.00	0.00	-12.61	-12.61	124.15
1980 03 01 12	39398.40	0.18	346.99	0.00	-13.54	-13.54	111.21
1980 03 02 12	39628.39	0.02	423.06	0.00	-13.51	-13.51	103.24
1980 03 03 12	39744.00	0.00	436.53	0.00	-12.01	-12.01	113.28
1980 03 04 12	40089.60	0.00	438.55	0.00	-8.38	-8.38	154.01
1980 03 05 12	40089.60	1.80	338.22	0.00	-4.63	-4.63	240.38
1980 03 06 12	40435.20	0.69	302.13	0.00	-0.73	-0.73	355.14
1980 03 07 12	40435.20	1.18	306.83	0.00	-2.25	-2.25	333.21
1980 03 08 12	40780.80	11.77	197.94	0.00	-0.82	-0.82	426.05
1980 03 09 12	40780.80	4.57	139.23	0.00	-0.88	-0.88	433.13
1980 03 10 12	41126.40	0.41	422.06	0.00	-3.53	-3.53	293.76
1980 03 11 12	41126.40	13.55	317.15	0.00	-1.73	-1.73	308.40
1980 03 12 12	41472.00	3.57	446.85	0.00	-5.48	-5.48	209.98
1980 03 13 12	41817.60	0.92	324.47	0.00	-9.08	-9.08	183.66
1980 03 14 12	41817.60	23.94	339.85	0.00	-5.31	-5.31	261.64
1980 03 15 12	42163.20	6.39	365.00	0.00	-1.91	-1.91	319.25
1980 03 16 12	42163.20	0.04	463.54	0.00	-5.50	-5.50	230.08
1980 03 17 12	42508.80	15.53	356.36	0.00	-4.01	-4.01	290.94
1980 03 18 12	42508.80	36.80	345.06	0.00	1.38	1.38	424.70
1980 03 19 12	42854.40	8.61	442.82	0.00	0.49	0.49	383.80
1980 03 20 12	42854.40	0.00	444.40	0.00	-1.43	-1.43	345.66
1980 03 21 12	43200.00	0.00	446.19	0.00	-0.22	-0.22	390.17
1980 03 22 12	43545.60	0.00	443.05	0.00	2.27	2.27	481.96
1980 03 23 12	43545.60	0.00	383.14	0.00	4.01	4.01	566.75
1980 03 24 12	43891.20	0.00	423.55	0.00	3.73	3.73	541.17
1980 03 25 12	43891.20	0.37	304.14	0.00	2.82	2.82	531.42
1980 03 26 12	44236.80	3.59	264.24	0.00	2.54	2.54	538.84
1980 03 27 12	44236.80	0.92	267.06	0.00	0.94	0.94	498.03
1980 03 28 12	44582.40	0.00	441.94	0.00	1.85	1.85	487.34
1980 03 29 12	44582.40	1.23	375.18	0.00	4.75	4.75	568.92
1980 03 30 12	44928.00	1.22	335.46	0.00	5.37	5.37	581.96
1980 03 31 12	45273.60	0.24	491.85	0.00	2.17	2.17	430.81
1980 04 01 12	45273.60	0.00	531.33	0.00	2.42	2.42	409.55
1980 04 02 12	45619.20	0.00	503.00	0.00	4.16	4.16	483.00
1980 04 03 12	45619.20	0.00	522.76	0.00	4.96	4.96	507.73
1980 04 04 12	45964.80	17.14	403.75	0.00	5.58	5.58	550.82
1980 04 05 12	45964.80	6.84	318.44	0.00	4.60	4.60	577.74
1980 04 06 12	46310.40	0.61	455.57	0.00	2.51	2.51	471.64
1980 04 07 12	46310.40	0.00	545.53	0.00	0.79	0.79	391.61
1980 04 08 12	46656.00	0.00	461.51	0.00	3.80	3.80	542.90
1980 04 09 12	46771.61	0.20	315.45	0.00	5.38	5.38	641.35
1980 04 10 12	47001.60	16.34	324.96	0.00	4.64	4.64	631.21
1980 04 11 12	47337.32	11.49	337.05	0.00	6.37	6.37	671.50
1980 04 12 12	47347.20	4.16	420.38	0.00	6.77	6.77	641.87
1980 04 13 12	47692.80	1.10	389.15	0.00	9.93	9.93	758.53
1980 04 14 12	47692.80	0.56	415.85	0.00	8.07	8.07	675.01
1980 04 15 12	48038.40	5.48	368.21	0.00	8.32	8.32	721.14
1980 04 16 12	48038.40	3.08	370.64	0.00	6.82	6.82	638.03
1980 04 17 12	48384.00	0.44	537.77	0.00	3.94	3.94	473.31
1980 04 18 12	48384.00	0.00	555.10	0.00	2.88	2.88	441.30
1980 04 19 12	48729.60	0.94	441.00	0.00	4.57	4.57	515.71
1980 04 20 12	48729.60	2.31	429.42	0.00	6.02	6.02	573.26
1980 04 21 12	49075.20	2.31	414.23	0.00	8.15	8.15	630.14
1980 04 22 12	49075.20	13.14	420.31	0.00	4.49	4.49	521.32
1980 04 23 12	49420.80	5.91	319.25	0.00	4.14	4.14	617.82
1980 04 24 12	49420.80	0.99	302.29	0.00	6.92	6.92	773.31
1980 04 25 12	49766.40	0.24	347.71	0.00	9.58	9.58	858.51
1980 04 26 12	49766.40	2.46	370.65	0.00	10.31	10.31	856.51
1980 04 27 12	50112.00	0.68	282.72	0.00	8.56	8.56	773.52
1980 04 28 12	50112.00	0.01	529.75	0.00	4.90	4.90	571.46
1980 04 29 12	50457.60	14.40	382.91	0.00	6.26	6.26	667.74
1980 04 30 12	50457.60	14.90	328.22	0.00	8.70	8.70	826.88
1980 05 01 12	50803.20	3.03	278.77	0.00	9.77	9.77	877.77
1980 05 02 12	50803.20	0.03	533.30	0.00	8.73	8.73	683.26
1980 05 03 12	51148.80	0.01	528.19	0.00	6.96	6.96	558.35
1980 05 04 12	51148.80	0.07	425.53	0.00	8.59	8.59	626.06
1980 05 05 12	51412.46	0.02	549.83	0.00	7.09	7.09	601.99
1980 05 06 12	51494.40	0.13	433.54	0.00	8.71	8.71	694.32
1980 05 07 12	51641.93	5.38	378.28	0.00	9.72	9.72	782.08
1980 05 08 12	51840.00	10.87	165.44	0.00	6.31	6.31	779.37
1980 05 09 12	51862.40	4.01	251.78	0.00	7.35	7.35	796.87
1980 05 10 12	52185.60	0.43	443.20	0.00	8.19	8.19	694.23
1980 05 11 12	52185.60	0.27	422.47	0.00	8.88	8.88	738.61
1980 05 12 12	52449.26	0.10	433.95	0.00	13.22	13.22	964.15
1980 05 13 12	52531.20	0.41	400.44	0.00	14.13	14.13	998.08
1980 05 14 12	52646.81	0.37	384.75	0.00	13.37	13.37	951.15
1980 05 15 12	52876.80	0.41	492.02	0.00	11.26	11.26	840.60
1980 05 16 12	52876.80	0.19	406.84	0.00	12.65	12.65	884.66
1980 05 17 12	53075.75	0.03	551.75	0.00	12.90	12.90	835.36
1980 05 18 12	53222.40	2.95	403.06	0.00	11.94	11.94	863.88
1980 05 19 12	53244.80	1.95	372.67	0.00	13.12	13.12	974.21
1980 05 20 12	53558.12	0.31	529.19	0.00	13.70	13.70	926.00
1980 05 21 12	53568.00	0.83	442.52	0.00	11.88	11.88	870.95
1980 05 22 12	53590.40	0.22	539.60	0.00	14.14	14.14	943.84
1980 05 23 12	53903.73	0.00	550.58	0.00	15.59	15.59	926.54
1980 05 24 12	53913.60	0.00	546.66	0.00	13.22	13.22	845.32
1980 05 25 12	53936.00	0.01	476.31	0.00	13.07	13.07	849.61
1980 05 26 12	54112.55	0.02	490.74	0.00	10.21	10.21	722.94
1980 05 27 12	54259.20	0.07	431.75	0.00	9.59	9.59	779.69
1980 05 28 12	54259.20	0.03	421.52	0.00	10.69	10.69	833.35
1980 05 29 12	54374.81	0.00	540.74	0.00	10.79	10.79	782.94
1980 05 30 12	54594.93	0.09	467.38	0.00	13.75	13.75	928.00
1980 05 31 12	54604.80	0.37	369.29	0.00	15.11	15.11	1091.90
1980 06 01 12	54604.80	0.13	334.51	0.00	14.77	14.77	1154.98
1980 06 02 12	54683.51	0.88	376.62	0.00	16.06	16.06	1143.31
1980 06 03 12	54803.75	6.21	272.93	0.00	12.70	12.70	1042.17
1980 06 04 12	54950.40	4.11	162.96	0.00	9.98	9.98	1005.87
1980 06 05 12	54950.40	3.20	315.49	0.00	12.06	12.06	1003.26
1980 06 06 12	54950.40	0.74	458.63	0.00	13.51	13.51	934.40
1980 06 07 12	55029.11	0.32	429.74	0.00	15.20	15.20	996.98
1980 06 08 12	55097.93	10.76	385.82	0.00	14.78	14.78	971.25
1980 06 09 12	55214.06	9.32	356.58	0.00	9.98	9.98	810.34
1980 06 10 12	55296.00	3.27	358.99	0.00	10.30	10.30	825.31
1980 06 11 12	55296.00	0.41	476.89	0.00	10.24	10.24	809.24
1980 06 12 12	55296.00	0.00	489.86	0.00	10.90	10.90	833.14
1980 06 13 12	55296.00	0.00	533.23	0.00	12.87	12.87	893.33
1980 06 14 12	55296.00	1.66	401.98	0.00	15.22	15.22	1050.48
1980 06 15 12	55318.40	7.15	377.54	0.00	16.91	16.91	1199.61
1980 06 16 12	55374.71	4.85	377.61	0.00	17.55	17.55	1155.32
1980 06 17 12	55374.71	0.81	522.18	0.00	13.72	13.72	876.25
1980 06 18 12	55411.61	0.00	523.07	0.00	12.96	12.96	866.18
1980 06 19 12	55411.61	0.00	485.60	0.00	13.97	13.97	930.77
1980 06 20 12	55411.61	2.52	394.61	0.00	12.81	12.81	929.23
1980 06 21 12	55411.61	6.47	315.45	0.00	14.54	14.54	1107.25
1980 06 22 12	55411.61	1.88	382.37	0.00	15.07	15.07	1125.78
1980 06 23 12	55411.61	0.09	526.46	0.00	18.90	18.90	1234.40
1980 06 24 12	55374.71	0.00	525.94	0.00	20.38	20.38	1360.41
1980 06 25 12	55318.40	0.23	435.87	0.00	22.93	22.93	1611.25
1980 06 26 12	55296.00	0.44	434.68	0.00	23.36	23.36	1629.84
1980 06 27 12	55296.00	2.61	384.52	0.00	22.37	22.37	1444.76
1980 06 28 12	55296.00	0.66	544.33	0.00	18.27	18.27	1047.72
1980 06 29 12	55296.00	1.66	411.45	0.00	15.39	15.39	1006.05
1980 06 30 12	55296.00	4.28	352.66	0.00	17.09	17.09	1228.82
1980 07 01 12	55286.12	1.07	243.70	0.00	14.71	14.71	1236.35
1980 07 02 12	55149.35	2.85	284.15	0.00	14.57	14.57	1215.53
1980 07 03 12	55066.01	1.01	322.31	0.00	15.65	15.65	1231.83
1980 07 04 12	54972.80	0.07	520.57	0.00	17.90	17.90	1205.46
1980 07 05 12	54950.40	1.80	390.05	0.00	20.11	20.11	1339.35
1980 07 06 12	54950.40	0.75	347.57	0.00	18.79	18.79	1319.61
1980 07 07 12	54940.52	0.07	428.05	0.00	16.59	16.59	1160.86
1980 07 08 12	54752.33	8.01	391.41	0.00	14.98	14.98	1052.52
1980 07 09 12	54627.19	5.13	348.22	0.00	16.06	16.06	1113.58
1980 07 10 12	54604.80	0.80	538.40	0.00	15.46	15.46	993.07
1980 07 11 12	54604.80	6.16	349.95	0.00	16.40	16.40	1172.74
1980 07 12 12	54458.15	2.75	288.81	0.00	15.83	15.83	1193.74
1980 07 13 12	54281.60	2.12	371.47	0.00	14.72	14.72	1063.92
1980 07 14 12	54259.20	0.66	429.69	0.00	16.38	16.38	1202.53
1980 07 15 12	54249.32	1.43	342.77	0.00	19.70	19.70	1491.10
1980 07 16 12	54029.21	6.75	341.06	0.00	21.14	21.14	1607.07
1980 07 17 12	53913.60	8.08	359.23	0.00	21.95	21.95	1601.06
1980 07 18 12	53913.60	2.39	352.87	0.00	19.85	19.85	1452.04
1980 07 19 12	53715.53	0.50	448.94	0.00	20.09	20.09	1385.01
1980 07 20 12	53568.00	1.26	362.42	0.00	22.04	22.04	1643.21
1980 07 21 12	53568.00	5.16	311.80	0.00	22.81	22.81	1805.78
1980 07 22 12	53369.93	8.44	293.94	0.00	21.21	21.21	1718.27
1980 07 23 12	53222.40	7.82	273.13	0.00	20.56	20.56	1710.63
1980 07 24 12	53222.40	2.40	313.41	0.00	20.90	20.90	1629.55
1980 07 25 12	52955.51	0.22	507.45	0.00	20.80	20.80	1470.86
1980 07 26 12	52876.80	0.09	415.73	0.00	23.16	23.16	1696.94
1980 07 27 12	52794.86	0.25	356.27	0.00	22.10	22.10	1604.06
1980 07 28 12	52531.20	0.06	465.17	0.00	20.45	20.45	1451.33
1980 07 29 12	52531.20	17.60	361.29	0.00	20.06	20.06	1480.60
1980 07 30 12	52301.21	11.94	324.29	0.00	20.98	20.98	1591.72
1980 07 31 12	52185.60	2.89	375.80	0.00	20.45	20.45	1476.27
1980 08 01 12	52103.66	1.22	369.20	0.00	21.51	21.51	1557.86
1980 08 02 12	51840.00	0.42	339.24	0.00	22.10	22.10	1672.52
1980 08 03 12	51840.00	0.56	262.22	0.00	19.89	19.89	1648.36
1980 08 04 12	51494.40	2.38	288.21	0.00	20.06	20.06	1648.48
1980 08 05 12	51494.40	1.99	367.22	0.00	21.72	21.72	1609.31
1980 08 06 12	51227.51	8.42	347.50	0.00	22.30	22.30	1657.81
1980 08 07 12	51148.80	2.25	361.03	0.00	20.84	20.84	1655.22
1980 08 08 12	50918.81	7.22	344.45	0.00	22.42	22.42	1738.86
1980 08 09 12	50803.20	4.93	333.61	0.00	22.31	22.31	1667.51
1980 08 10 12	50605.13	0.80	477.86	0.00	20.19	20.19	1384.37
1980 08 11 12	50457.60	0.01	444.32	0.00	18.82	18.82	1326.80
1980 08 12 12	50310.95	3.00	288.37	0.00	18.59	18.59	1439.73
1980 08 13 12	50112.00	0.79	316.85	0.00	16.28	16.28	1336.07
1980 08 14 12	50030.06	0.18	334.72	0.00	17.27	17.27	1335.87
1980 08 15 12	49766.40	0.34	394.79	0.00	18.32	18.32	1333.44
1980 08 16 12	49684.46	2.23	366.77	0.00	17.73	17.73	1221.73
1980 08 17 12	49420.80	0.73	365.28	0.00	16.36	16.36	1183.53
1980 08 18 12	49338.86	0.04	493.51	0.00	17.37	17.37	1158.69
1980 08 19 12	49075.20	0.14	365.71	0.00	18.28	18.28	1241.35
1980 08 20 12	48993.26	0.23	324.75	0.00	17.15	17.15	1244.86
1980 08 21 12	48729.60	0.05	480.35	0.00	15.89	15.89	1067.88
1980 08 22 12	48582.95	0.00	488.04	0.00	16.23	16.23	1052.76
1980 08 23 12	48384.00	0.00	479.77	0.00	17.28	17.28	1152.73
1980 08 24 12	48185.93	0.00	475.37	0.00	19.93	19.93	1355.95
1980 08 25 12	48038.40	0.84	343.85	0.00	21.68	21.68	1538.41
1980 08 26 12	47715.19	0.42	392.63	0.00	21.00	21.00	1563.94
1980 08 27 12	47692.80	2.15	321.32	0.00	21.79	21.79	1637.12
1980 08 28 12	47347.20	1.75	334.18	0.00	20.46	20.46	1410.48
1980 08 29 12	47347.20	0.31	460.20	0.00	16.17	16.17	1089.02
1980 08 30 12	47001.60	0.03	361.80	0.00	16.58	16.58	1199.58
1980 08 31 12	47001.60	0.94	343.01	0.00	19.42	19.42	1515.39
1980 09 01 12	46656.00	2.56	267.92	0.00	20.78	20.78	1740.66
1980 09 02 12	46656.00	4.42	270.15	0.00	21.76	21.76	1792.18
1980 09 03 12	46310.40	2.40	314.41	0.00	21.24	21.24	1535.23
1980 09 04 12	46310.40	0.37	457.13	0.00	16.94	16.94	1097.52
1980 09 05 12	45964.80	3.79	326.81	0.00	15.22	15.22	1111.00
1980 09 06 12	45734.81	1.04	352.16	0.00	17.93	17.93	1317.26
1980 09 07 12	45619.20	0.01	433.67	0.00	17.18	17.18	1132.26
1980 09 08 12	45273.60	0.00	456.78	0.00	14.53	14.53	903.16
1980 09 09 12	45273.60	1.44	336.94	0.00	12.96	12.96	888.00
1980 09 10 12	44928.00	0.82	317.43	0.00	14.31	14.31	1019.75
1980 09 11 12	44928.00	1.91	319.76	0.00	13.21	13.21	924.65
1980 09 12 12	44582.40	0.94	342.49	0.00	12.16	12.16	847.77
1980 09 13 12	44582.40	4.44	319.52	0.00	11.49	11.49	852.59
1980 09 14 12	44236.80	19.53	279.24	0.00	13.37	13.37	1027.14
1980 09 15 12	44090.15	7.65	209.71	0.00	13.03	13.03	1052.97
1980 09 16 12	43891.20	0.74	397.87	0.00	10.09	10.09	817.40
1980 09 17 12	43545.60	13.19	295.70	0.00	11.20	11.20	887.68
1980 09 18 12	43545.60	10.95	269.03	0.00	12.56	12.56	960.61
1980 09 19 12	43200.00	1.97	403.41	0.00	10.54	10.54	799.59
1980 09 20 12	43200.00	1.09	299.21	0.00	10.08	10.08	814.24
1980 09 21 12	42854.40	3.42	264.94	0.00	12.22	12.22	990.49
1980 09 22 12	42854.40	2.36	260.87	0.00	13.74	13.74	1113.15
1980 09 23 12	42508.80	3.30	242.21	0.00	14.91	14.91	1139.63
1980 09 24 12	42361.27	0.76	413.67	0.00	11.57	11.57	775.01
1980 09 25 12	42163.20	5.13	296.46	0.00	8.47	8.47	688.05
1980 09 26 12	41817.60	24.58	263.97	0.00	9.07	9.07	788.69
1980 09 27 12	41817.60	6.91	235.54	0.00	9.15	9.15	804.07
1980 09 28 12	41472.00	0.21	375.01	0.00	6.59	6.59	620.14
1980 09 29 12	41472.00	0.00	402.97	0.00	5.55	5.55	514.24
1980 09 30 12	41126.40	0.07	359.13	0.00	6.07	6.07	599.70
1980 10 01 12	41126.40	0.03	301.15	0.00	10.39	10.39	883.42
1980 10 02 12	40780.80	1.60	228.97	0.00	12.38	12.38	1066.17
1980 10 03 12	40665.19	19.24	181.67	0.00	13.97	13.97	1183.67
1980 10 04 12	40435.20	16.98	190.26	0.00	11.00	11.00	982.09
1980 10 05 12	40089.60	4.05	214.06	0.00	8.54	8.54	859.48
1980 10 06 12	40089.60	4.26	145.64	0.00	9.07	9.07	926.57
1980 10 07 12	39744.00	2.23	132.24	0.00	8.48	8.48	898.44
1980 10 08 12	39744.00	0.37	242.34	0.00	6.99	6.99	777.52
1980 10 09 12	39398.40	0.11	231.47	0.00	9.08	9.08	808.32
1980 10 10 12	39398.40	0.02	346.11	0.00	5.05	5.05	563.80
1980 10 11 12	39052.80	20.35	261.97	0.00	4.81	4.81	583.50
1980 10 12 12	39052.80	10.90	208.90	0.00	8.79	8.79	801.23
1980 10 13 12	38707.20	1.46	320.00	0.00	7.22	7.22	685.74
1980 10 14 12	38684.81	0.00	267.08	0.00	4.83	4.83	598.35
1980 10 15 12	38361.60	0.00	310.60	0.00	1.69	1.69	464.97
1980 10 16 12	38245.99	0.09	263.74	0.00	1.72	1.72	451.14
1980 10 17 12	38016.00	0.15	240.86	0.00	4.62	4.62	574.41
1980 10 18 12	37817.05	6.59	230.98	0.00	8.04	8.04	780.67
1980 10 19 12	37670.40	5.34	153.94	0.00	12.00	12.00	1057.03
1980 10 20 12	37406.74	0.95	264.22	0.00	9.75	9.75	855.04
1980 10 21 12	37324.80	0.00	304.52	0.00	5.17	5.17	595.23
1980 10 22 12	37061.14	0.05	246.41	0.00	4.93	4.93	598.25
1980 10 23 12	36979.20	0.01	272.32	0.00	3.15	3.15	530.62
1980 10 24 12	36715.54	0.00	276.48	0.00	2.66	2.66	504.99
1980 10 25 12	36633.60	15.00	225.57	0.00	2.85	2.85	510.10
1980 10 26 12	36369.94	18.45	193.10	0.00	6.41	6.41	679.86
1980 10 27 12	36288.00	3.82	234.12	0.00	5.39	5.39	659.09
1980 10 28 12	36089.05	0.61	130.22	0.00	3.42	3.42	602.78
1980 10 29 12	35942.40	0.16	240.58	0.00	1.43	1.43	501.42
1980 10 30 12	35794.87	0.00	250.55	0.00	1.70	1.70	491.45
1980 10 31 12	35596.80	0.02	253.30	0.00	2.65	2.65	501.33
1980 11 01 12	35481.19	0.01	229.43	0.00	3.70	3.70	550.08
1980 11 02 12	35251.20	0.00	254.19	0.00	2.73	2.73	493.97
1980 11 03 12	35228.81	0.00	263.62	0.00	-0.29	-0.29	399.04
1980 11 04 12	34905.60	4.02	194.97	0.00	2.52	2.52	532.39
1980 11 05 12	34905.60	2.21	151.39	0.00	7.43	7.43	735.06
1980 11 06 12	34560.00	0.30	260.65	0.00	2.75	2.75	498.93
1980 11 07 12	34560.00	4.95	157.74	0.00	3.69	3.69	582.45
1980 11 08 12	34296.34	4.59	168.26	0.00	5.03	5.03	604.03
1980 11 09 12	34214.40	3.27	228.23	0.00	0.51	0.51	404.98
1980 11 10 12	34098.79	6.59	210.28	0.00	1.03	1.03	452.24
1980 11 11 12	33868.80	4.08	121.19	0.00	2.06	2.06	560.45
1980 11 12 12	33868.80	0.66	161.12	0.00	2.40	2.40	576.74
1980 11 13 12	33605.14	0.89	136.83	0.00	2.01	2.01	537.42
1980 11 14 12	33523.20	1.91	147.78	0.00	1.22	1.22	483.74
1980 11 15 12	33444.49	0.44	187.97	0.00	-0.44	-0.44	416.54
1980 11 16 12	33177.60	0.00	218.63	0.00	-2.29	-2.29	351.05
1980 11 17 12	33177.60	1.15	147.63	0.00	-1.77	-1.77	394.85
1980 11 18 12	33030.07	17.54	126.05	0.00	-0.37	-0.37	454.63
1980 11 19 12	32832.00	5.83	89.31	0.00	-1.63	-1.63	414.61
1980 11 20 12	32832.00	0.34	217.18	0.00	-4.35	-4.35	301.08
1980 11 21 12	32684.47	7.84	206.35	0.00	-3.47	-3.47	318.10
1980 11 22 12	32486.40	4.74	183.73	0.00	-0.08	-0.08	437.28
1980 11 23 12	32486.40	0.78	201.21	0.00	-0.10	-0.10	443.52
1980 11 24 12	32370.79	5.92	195.19	0.00	1.53	1.53	508.71
1980 11 25 12	32150.68	23.44	133.28	0.00	5.16	5.16	687.64
1980 11 26 12	32140.80	7.30	164.12	0.00	3.11	3.11	565.75
1980 11 27 12	32118.40	0.40	179.59	0.00	-1.20	-1.20	414.00
1980 11 28 12	31941.85	22.15	158.94	0.00	-1.89	-1.89	402.99
1980 11 29 12	31795.20	15.66	174.05	0.00	1.14	1.14	474.43
1980 11 30 12	31795.20	2.59	173.61	0.00	2.04	2.04	527.94
1980 12 01 12	31772.80	0.00	189.28	0.00	1.03	1.03	498.16
1980 12 02 12	31647.67	6.48	158.37	0.00	1.36	1.36	487.68
1980 12 03 12	31459.48	8.82	159.19	0.00	2.99	2.99	503.12
1980 12 04 12	31449.60	3.31	199.18	0.00	-1.83	-1.83	316.38
1980 12 05 12	31449.60	0.46	131.74	0.00	-5.26	-5.26	291.41
1980 12 06 12	31427.20	0.02	211.20	0.00	-5.08	-5.08	316.34
1980 12 07 12	31333.99	0.00	180.51	0.00	-2.46	-2.46	378.28
1980 12 08 12	31250.65	3.20	186.99	0.00	-3.05	-3.05	350.76
1980 12 09 12	31113.88	1.65	189.08	0.00	0.76	0.76	422.96
1980 12 10 12	31104.00	0.82	183.88	0.00	-3.15	-3.15	305.41
1980 12 11 12	31104.00	0.19	223.64	0.00	-7.27	-7.27	198.11
1980 12 12 12	31104.00	3.14	191.34	0.00	-13.90	-13.90	123.65
1980 12 13 12	31104.00	2.02	197.25	0.00	-9.17	-9.17	165.38
1980 12 14 12	31104.00	0.31	250.13	0.00	-9.41	-9.41	134.74
1980 12 15 12	31081.60	0.20	196.31	0.00	-12.75	-12.75	111.29
1980 12 16 12	31025.29	9.77	185.84	0.00	-13.12	-13.12	128.96
1980 12 17 12	30988.39	3.36	199.08	0.00	-10.82	-10.82	141.48
1980 12 18 12	30988.39	3.44	204.40	0.00	-13.09	-13.09	114.42
1980 12 19 12	30988.39	3.56	193.03	0.00	-8.49	-8.49	172.46
1980 12 20 12	30988.39	0.71	255.69	0.00	-13.88	-13.88	93.30
